R,side,crowd,h1,h4,year,crowd_excursion_atr,confirm_bars,abs_z,trend_relation,response_bucket
0.9962758127752915,-1,1,1,1,2021,1.6050311380019704,3,2.505203290910355,-1,2
-1.0008591038063688,1,-1,0,1,2021,0.7241048986542118,1,2.634653537806003,0,1
0.7265115172329757,1,-1,-1,1,2021,0.8918800452311965,2,2.558771371745803,0,2
-1.0009761389386913,-1,1,1,1,2021,1.0083127499780524,4,2.663698461765491,-1,2
0.6403900834262355,1,-1,1,1,2021,2.4053234587629153,1,3.230629751352215,1,2
0.7628134081378714,-1,1,1,1,2021,0.2940575710846015,2,3.5302943217234093,-1,1
-1.0008036707413706,1,-1,-1,1,2021,0.6016329144537104,3,2.885672236788279,0,1
0.789648764888735,1,-1,-1,-1,2021,0.19840579624983312,1,2.5558059553181876,-1,0
-1.001061580729974,-1,1,1,0,2021,1.3427407511461404,3,2.5966219316997057,0,2
-1.0012148997445378,1,-1,1,1,2021,0.0350113028615457,1,2.7165164323536306,1,0
-1.0012722750185994,1,-1,1,1,2021,0.18169047468898178,1,2.500678083555215,1,0
-0.37266788724556266,-1,1,-1,0,2021,0.2883167400735485,2,2.658767183402635,0,1
0.9897642077368123,1,-1,-1,-1,2021,0.28233405210636897,1,2.9743944682205337,-1,1
2.2208277219359984,-1,1,-1,-1,2021,0.29915648045257315,1,2.9667673061190603,1,1
0.4859375430457185,-1,1,-1,-1,2021,0.38328449392079617,2,2.5504721198153395,1,1
0.18621804789168106,-1,1,-1,-1,2021,0.27030378559794727,1,2.61084531035341,1,1
2.221030601776685,1,-1,0,-1,2021,0.25196555965559625,1,2.51254066537909,0,1
-1.0011995719762563,-1,1,1,0,2021,0.012827475006524813,1,3.5292095345290435,0,0
-1.0010069317097217,-1,1,1,0,2021,2.6557373542555354,1,4.177382379064018,0,2
0.16342093085378984,-1,1,1,1,2021,0.49740683191088164,3,2.6664881294795846,-1,1
-1.0016991749700261,-1,1,1,1,2021,0.2255452428486586,1,2.8244370172167166,-1,0
-1.0018543291220563,1,-1,1,1,2021,1.0085341695379988,3,2.693308184263615,1,2
-1.0018452979368393,-1,1,1,1,2021,0.8225339666409053,3,3.7974710699101557,-1,2
0.28498954562056905,-1,1,0,1,2021,0.4830703484549762,2,3.4489469165636377,0,1
-1.0015965795317443,-1,1,1,1,2021,1.78075043268556,1,3.9172278509629743,-1,2
-1.0008024531588773,-1,1,1,1,2021,0.5650662692535928,1,4.524471805348319,-1,1
-0.05695755459116349,-1,1,1,1,2021,0.6275509936346512,1,4.261099888141106,-1,1
-1.0012195824382792,-1,1,0,1,2021,0.048072687128788046,1,2.6583281001937893,0,0
-1.0016529102970486,-1,1,-1,1,2021,0.685669911653807,2,3.5626508964845005,0,1
-1.0016410974333563,1,-1,1,1,2021,0.1625680365375972,1,2.66037952273344,1,0
0.9868169443501564,1,-1,-1,1,2021,0.21045197564496684,1,3.641200872400964,0,0
2.2200574108880042,1,-1,1,1,2021,0.5872574923478142,1,3.4808432268927776,1,1
0.8928909477754934,-1,1,1,1,2021,0.0,1,2.7665249881470633,-1,0
2.2195151060629876,1,-1,1,1,2021,0.7164480987722565,4,2.6148669881566513,1,1
2.2205826467036394,-1,1,1,1,2021,0.13303992502063597,1,2.6190733294885034,-1,0
-1.0008821123434832,1,-1,-1,1,2021,0.0020197869168516623,1,2.883783576555885,0,0
0.6403760747018986,1,-1,-1,-1,2021,0.2798121499873051,1,4.815184391786847,-1,1
1.5334342635133034,-1,1,-1,-1,2021,0.16967466747169083,1,2.721005922467731,1,0
-1.0011476022560983,1,-1,-1,-1,2021,0.21759493139633326,1,2.6258630413821136,-1,0
-1.0012949033136367,-1,1,-1,-1,2021,0.13393672139157314,1,3.1780770465261483,1,0
0.566966775878414,1,-1,1,-1,2021,0.08005427136081271,1,2.5673466453160314,0,0
-1.0015056215408153,1,-1,1,1,2021,0.26032802525641024,3,2.727708594730698,1,1
-1.0022905273667528,-1,1,0,1,2021,0.297026859396795,3,2.5910491977712957,0,1
1.2670568196158687,1,-1,1,0,2021,0.033240238904334314,1,3.3890072660285524,0,0
2.219768265713929,1,-1,1,1,2021,1.1023329685370886,4,2.5567111966685316,1,2
-1.0020943439280992,-1,1,1,1,2021,0.4193961290821216,2,3.7816671018801435,-1,1
0.8873188939070317,1,-1,1,1,2021,0.02657847055730213,1,2.6172734014746717,1,0
2.219938691461644,1,-1,1,1,2021,0.44355456097993784,2,3.5464060798615207,1,1
-1.0028151816718236,1,-1,1,1,2021,0.6593974773272162,2,2.7238691788621887,1,1
2.220110062098038,-1,1,0,1,2021,0.08745434986356161,2,2.627293245444874,0,0
-1.0022844458387883,-1,1,-1,0,2021,0.5411531563563683,1,2.5003586819396255,0,1
2.220270494696879,-1,1,0,1,2021,0.4855494892567831,4,3.055056235834185,0,1
-1.002312579901487,1,-1,-1,-1,2021,0.05762595359938619,1,4.054849559466968,-1,0
-1.0015873534156974,-1,1,-1,-1,2021,0.14833764301131985,1,2.516113491318224,1,0
1.2625721421125569,1,-1,-1,-1,2021,1.1463308058090338,2,2.9424700156602848,-1,2
0.7404143259360101,1,-1,1,0,2021,0.014055493875578742,1,3.6072302643530487,0,0
-1.0020000575979786,-1,1,0,1,2021,0.8430645609106765,2,2.7466847445491314,0,2
-1.002842543453854,-1,1,1,1,2021,0.26477184412121796,1,2.505345972935097,-1,1
-0.1899920531317273,1,-1,1,1,2021,1.1250466262462033,2,4.146708391768236,1,2
-1.0024944861945568,1,-1,1,1,2021,0.4502410999632336,2,2.530159620525986,1,1
-1.0025062696719889,1,-1,1,1,2021,0.09023017514151899,1,2.535607198408727,1,0
-1.0043258646178435,-1,1,-1,1,2021,1.2752850655782622,2,2.714593855551234,0,2
-1.0023044971275692,1,-1,1,-1,2021,0.19291241584247154,2,2.90970565418858,0,0
2.218795433289904,1,-1,1,1,2021,0.07729097468575577,1,2.6561470014660795,1,0
-1.001772196895821,1,-1,1,1,2021,0.11490042548106794,1,2.5762109409470493,1,0
2.2192320383368975,-1,1,1,1,2021,1.3895033900534568,4,3.5961712117582505,-1,2
-0.27304113977187616,-1,1,1,1,2021,0.4527757604075169,1,2.54091450305727,-1,1
2.2192482020697994,-1,1,-1,-1,2021,1.6104875857902297,2,3.911207869230232,1,2
0.6421868729245394,1,-1,-1,-1,2021,1.3094414925366298,1,5.649359372492351,-1,2
-1.0017564914900634,-1,1,-1,-1,2021,0.8379301918299085,3,3.0176033029330016,1,2
2.2206643055726425,-1,1,-1,-1,2021,0.5828288085392312,4,2.639218570508315,1,1
0.13080285810572612,1,-1,-1,-1,2021,0.17827382159546623,1,3.512250354163493,-1,0
-1.002192966713398,1,-1,-1,-1,2021,1.8039420272864444,1,4.695642716249246,-1,2
-0.4541967693943997,1,-1,1,1,2021,0.4030322530460332,4,2.781926394065313,1,1
-1.0023028452599316,-1,1,-1,1,2021,0.44356992192548655,3,2.9336074192687174,0,1
0.18520612627378893,-1,1,1,1,2021,0.4110785356485345,1,3.935927739608543,-1,1
1.3626342848155923,1,-1,-1,1,2021,0.19580583010482147,1,3.0416477752861075,0,0
0.7831716665191437,-1,1,1,1,2021,0.8837626128518393,3,3.6157056674400705,-1,2
-1.0021948689088112,1,-1,1,1,2021,0.7871468456851181,2,3.3466453763324155,1,2
0.31220666876166275,-1,1,-1,1,2021,0.004098256064437082,1,2.5198555766803867,0,0
-1.0013622878955803,1,-1,-1,-1,2021,0.02140130525797893,1,3.1844047453969977,-1,0
0.5409644952041175,-1,1,-1,-1,2021,0.027883420132070295,1,2.9676643761512427,1,0
2.221280416778294,-1,1,-1,-1,2021,0.4214815145561755,2,4.0842298673016595,1,1
-1.000763750039451,1,-1,-1,-1,2021,1.0887081709473456,1,2.769024677834874,-1,2
1.5339311761535495,1,-1,-1,-1,2021,6.809569207072031,3,3.4532077598666775,-1,2
2.2212966585871916,-1,1,1,-1,2021,0.5823499518446646,1,2.915371441164843,0,1
-1.0007572635336026,-1,1,-1,-1,2021,1.5194275633289864,3,2.7456050095232114,1,2
2.2211253980364303,-1,1,-1,-1,2021,0.1108224362742,1,4.256521246333951,1,0
-1.0006030850648373,-1,1,-1,-1,2021,0.006253826443848492,1,3.354570544313515,1,0
2.2211633174509173,1,-1,1,-1,2021,0.02313925797210297,1,4.209306149223428,0,0
1.2966079268745763,1,-1,1,1,2021,0.361657576938081,2,2.602590370976619,1,1
