tf,retrace,N,pos_years,EV,PF,DD,SumR,Y2021,Y2022,Y2023,Y2024,Y2025
15,0.6,1354,5,0.05166395133595708,1.1007832009918563,21.133322434423896,69.95299010888588,19.746803465913892,14.719238638771394,11.19840109120754,17.690044691681162,6.5985022213119695
1,0.7,2220,5,0.056008689213904145,1.113193730634937,25.935611585204036,124.3392900548672,42.36382564149892,10.710387000309682,17.340718990305167,49.77455887831059,4.1497995444428515
5,0.4,2154,5,0.03839320352862642,1.0769253813310105,26.920257736291525,82.6989604006613,22.35236563317514,21.629244917609533,3.1237684825153504,31.252389366834173,4.34119200052707
5,0.7,1827,5,0.053518768034788236,1.1060487411363482,22.669862747270244,97.7787891995581,13.958229774400579,31.40083837403101,1.5823302205696113,48.22478822734465,2.612602603212147
15,0.7,1227,4,0.0408784327562463,1.079302383343748,23.35899967221673,50.15783699191421,1.0480227509481297,30.448918512882322,4.699763994355424,17.20592489135101,-3.244793157622759
1,0.6,2322,4,0.03594516126440385,1.0714760187685182,28.775798378073745,83.46466445594574,22.701065071471174,13.95109671297266,0.6894141411360599,50.217978206305915,-4.094889675940038
5,0.5,2043,4,0.0375083740012331,1.0748073951304546,34.095191969462384,76.62960808451922,21.572385670552144,18.08847611291743,19.418714465559727,22.43252976274094,-4.882497927251013
3,0.4,2262,4,0.027697722961664485,1.0550041364807885,56.34369208572484,62.65224933928506,12.912700577902484,33.433084448938025,20.866556052169887,8.932126612251865,-13.492218351977298
60,0.6,459,4,0.0745150156375382,1.1458899931049518,24.345872544756766,34.20239217763004,17.786449865972088,17.81401498855105,8.44643611679637,3.8385208387887237,-13.683029632478176
60,0.4,591,4,0.0742835655364183,1.1495014630573233,18.116364432983872,43.90158723202321,18.021467804079798,22.374297284073567,0.36760286742748427,16.872514850732827,-13.734295574290392
60,0.7,388,4,0.07457356686328279,1.1459942714248943,18.221510325622884,28.934543942953724,8.19314007369375,12.531674699882752,10.434423012395015,11.924012613590373,-14.148706456608165
15,0.5,1500,4,0.05503105555842776,1.109672809550298,34.14174530395057,82.54658333764164,19.948014185168876,29.139165636969867,18.872975957101648,32.54066115962179,-17.954233601220665
60,0.5,515,4,0.0623026590225434,1.1219996218589998,23.653462261410866,32.08586939660985,17.468745654306616,22.75627958148882,3.3596486339704783,8.083015195734195,-19.581819668890272
3,0.7,1987,4,0.037925464256369036,1.0749150367660791,49.776842572307324,75.35789747740527,34.775714643559375,26.957872339817914,6.6379035597084854,32.18729092379133,-25.20088398947191
15,0.4,1641,4,0.03389486223883645,1.0666397674603763,34.545117211005916,55.62146893393061,14.848728547348957,21.181069940206392,19.235025036494402,26.86957095829965,-26.51292554841873
1,0.4,2423,4,0.016625313310419575,1.0325504668654766,46.621808623032805,40.28313415114663,30.5178181530582,19.060354878098465,-28.565638834951056,16.336276141252647,2.9343238136884064
1,0.5,2368,3,0.03291493356513573,1.0653635217771054,39.514321491017284,77.94256268224142,32.26736130249541,15.934451370487192,-0.9671866941648954,34.99962555368865,-4.291688850264822
5,0.6,1959,3,0.046998042433510995,1.0931781523768238,27.943411757148553,92.06916512724804,22.553504749530678,24.239145191655904,-7.018659736846093,54.05665395959752,-1.7614790366898831
3,0.5,2193,3,0.02944744618654368,1.0580894214023244,51.851158335165614,64.57824948709029,29.443694969861816,29.075224998358973,-0.045581547464313976,20.31183806988017,-14.206927003546118
3,0.6,2091,3,0.037432023465939164,1.0745789866605142,52.44143835878956,78.2703610672788,51.47562806758167,15.390659022959731,-9.607388428427885,36.385251603441624,-15.373789198276452
30,0.5,973,3,0.019556371366905162,1.0381226211333303,28.260828777283994,19.028349339998723,24.06193642874406,8.689190239716638,-4.404374238110056,10.957863300296498,-20.276266390648395
30,0.4,1105,3,0.015272605084552892,1.0298594993679582,26.136797123897136,16.876228618430947,25.605781071144392,2.848345617755423,-9.156181397041234,20.045570833330025,-22.467287506757646
30,0.6,876,2,-0.014216619959155992,0.9735323550445233,45.97192409464062,-12.45375908422065,18.845125125459337,-8.988836441656353,-3.8346969193803626,0.5553607244097238,-19.030711573053015
30,0.7,788,1,-0.021732944718219967,0.9601040821671623,41.16426659062735,-17.125560437957333,6.613207671878397,-8.189280292692125,-2.840115152700078,-0.39333440452684076,-12.316038259916674
