mode,trade_index,entry_time_utc,month,quality_state,raw_R,risk_multiplier,weighted_R,equity_baseR,drawdown_baseR
BASELINE,1,2026-03-01 14:49:23+00:00,2026-03,NORMAL,0.0539374874815626,1.0,0.0539374874815626,0.0539374874815626,0.0
BASELINE,2,2026-03-02 15:52:22+00:00,2026-03,NORMAL,-1.001610178787831,1.0,-1.001610178787831,-0.9476726913062685,1.001610178787831
BASELINE,3,2026-03-03 10:23:35+00:00,2026-03,NORMAL,-1.0022251199374392,1.0,-1.0022251199374392,-1.9498978112437078,2.0038352987252703
BASELINE,4,2026-03-06 07:20:48+00:00,2026-03,NORMAL,2.219347859404499,1.0,2.219347859404499,0.2694500481607913,0.0
BASELINE,5,2026-03-08 10:02:52+00:00,2026-03,LOW,2.217890902749247,1.0,2.217890902749247,2.4873409509100384,0.0
BASELINE,6,2026-03-09 09:52:29+00:00,2026-03,NORMAL,2.2194323888888925,1.0,2.2194323888888925,4.70677333979893,0.0
BASELINE,7,2026-03-10 16:05:45+00:00,2026-03,HIGH,-0.2838977375617715,1.0,-0.2838977375617715,4.422875602237159,0.2838977375617713
BASELINE,8,2026-03-12 04:01:43+00:00,2026-03,NORMAL,-1.00352750937612,1.0,-1.00352750937612,3.419348092861039,1.2874252469378913
BASELINE,9,2026-03-12 11:51:15+00:00,2026-03,HIGH,1.3224616129643092,1.0,1.3224616129643092,4.741809705825348,0.0
BASELINE,10,2026-03-13 14:35:35+00:00,2026-03,HIGH,-1.0025685134426676,1.0,-1.0025685134426676,3.7392411923826807,1.0025685134426676
BASELINE,11,2026-03-15 00:26:10+00:00,2026-03,NORMAL,-1.0063316103925888,1.0,-1.0063316103925888,2.732909581990092,2.0089001238352564
BASELINE,12,2026-03-15 07:30:33+00:00,2026-03,HIGH,2.217239791389728,1.0,2.217239791389728,4.95014937337982,0.0
BASELINE,13,2026-03-17 14:07:38+00:00,2026-03,NORMAL,-1.0033072812093422,1.0,-1.0033072812093422,3.9468420921704777,1.0033072812093424
BASELINE,14,2026-03-19 00:29:34+00:00,2026-03,NORMAL,2.218502725351408,1.0,2.218502725351408,6.165344817521886,0.0
BASELINE,15,2026-03-19 14:34:56+00:00,2026-03,LOW,-1.0029507032160143,1.0,-1.0029507032160143,5.162394114305871,1.0029507032160145
BASELINE,16,2026-03-21 14:34:17+00:00,2026-03,NORMAL,2.2136218505818785,1.0,2.2136218505818785,7.37601596488775,0.0
BASELINE,17,2026-03-22 00:15:24+00:00,2026-03,HIGH,0.9368780555555448,1.0,0.9368780555555448,8.312894020443295,0.0
BASELINE,18,2026-03-24 14:52:09+00:00,2026-03,NORMAL,-1.0023526473941229,1.0,-1.0023526473941229,7.310541373049173,1.0023526473941224
BASELINE,19,2026-03-26 03:36:02+00:00,2026-03,NORMAL,2.218214969355915,1.0,2.218214969355915,9.528756342405087,0.0
BASELINE,20,2026-03-28 00:17:55+00:00,2026-03,HIGH,-1.0056002344258763,1.0,-1.0056002344258763,8.523156107979212,1.0056002344258754
BASELINE,21,2026-03-29 13:07:09+00:00,2026-03,LOW,-1.005115803612989,1.0,-1.005115803612989,7.518040304366222,2.010716038038865
BASELINE,22,2026-03-30 00:37:56+00:00,2026-03,NORMAL,0.2996303225806422,1.0,0.2996303225806422,7.817670626946864,1.711085715458223
BASELINE,23,2026-03-31 09:05:26+00:00,2026-03,NORMAL,-1.00342490960836,1.0,-1.00342490960836,6.814245717338504,2.714510625066583
BASELINE,24,2026-04-01 07:19:57+00:00,2026-04,NORMAL,-1.0030545892784883,1.0,-1.0030545892784883,5.811191128060015,3.717565214345072
BASELINE,25,2026-04-02 01:57:08+00:00,2026-04,NORMAL,0.5550521007748141,1.0,0.5550521007748141,6.366243228834829,3.1625131135702578
BASELINE,26,2026-04-04 08:31:47+00:00,2026-04,NORMAL,-1.0127736419979974,1.0,-1.0127736419979974,5.353469586836832,4.175286755568255
BASELINE,27,2026-04-05 08:02:01+00:00,2026-04,LOW,-1.006828621643911,1.0,-1.006828621643911,4.346640965192921,5.182115377212166
BASELINE,28,2026-04-06 00:55:00+00:00,2026-04,HIGH,-0.1815576305759548,1.0,-0.1815576305759548,4.165083334616966,5.363673007788121
BASELINE,29,2026-04-07 12:22:48+00:00,2026-04,NORMAL,-1.003179473701688,1.0,-1.003179473701688,3.1619038609152783,6.366852481489809
BASELINE,30,2026-04-07 23:05:38+00:00,2026-04,HIGH,-0.1224372480196787,1.0,-0.1224372480196787,3.0394666128955996,6.489289729509487
BASELINE,31,2026-04-09 17:21:01+00:00,2026-04,LOW,0.3934609523547987,1.0,0.3934609523547987,3.4329275652503983,6.095828777154688
BASELINE,32,2026-04-12 02:11:45+00:00,2026-04,NORMAL,0.5788146944075542,1.0,0.5788146944075542,4.011742259657953,5.517014082747134
BASELINE,33,2026-04-17 09:00:58+00:00,2026-04,HIGH,2.2163165445726745,1.0,2.2163165445726745,6.228058804230628,3.300697538174459
BASELINE,34,2026-04-18 01:46:45+00:00,2026-04,NORMAL,2.217282555628636,1.0,2.217282555628636,8.445341359859263,1.0834149825458237
BASELINE,35,2026-04-18 22:25:00+00:00,2026-04,NORMAL,2.216606261565789,1.0,2.216606261565789,10.661947621425053,0.0
BASELINE,36,2026-04-20 00:03:51+00:00,2026-04,NORMAL,-1.0029579808165048,1.0,-1.0029579808165048,9.65898964060855,1.002957980816504
BASELINE,37,2026-04-20 16:08:57+00:00,2026-04,NORMAL,0.2196505500629696,1.0,0.2196505500629696,9.878640190671518,0.7833074307535348
BASELINE,38,2026-04-22 02:32:07+00:00,2026-04,HIGH,0.8743031574074068,1.0,0.8743031574074068,10.752943348078926,0.0
BASELINE,39,2026-04-24 02:51:24+00:00,2026-04,HIGH,-1.0042215082530837,1.0,-1.0042215082530837,9.748721839825842,1.0042215082530834
BASELINE,40,2026-04-25 09:38:44+00:00,2026-04,NORMAL,-1.0128516790912356,1.0,-1.0128516790912356,8.735870160734606,2.0170731873443195
BASELINE,41,2026-04-26 06:48:52+00:00,2026-04,HIGH,2.2160611656892386,1.0,2.2160611656892386,10.951931326423844,0.0
BASELINE,42,2026-04-27 17:04:20+00:00,2026-04,NORMAL,0.4725238687136813,1.0,0.4725238687136813,11.424455195137526,0.0
BASELINE,43,2026-04-30 09:02:30+00:00,2026-04,NORMAL,1.7908407904561892,1.0,1.7908407904561892,13.215295985593714,0.0
BASELINE,44,2026-05-01 13:30:05+00:00,2026-05,HIGH,0.0635876650430798,1.0,0.0635876650430798,13.278883650636795,0.0
BASELINE,45,2026-05-03 14:20:58+00:00,2026-05,HIGH,2.2156432099562338,1.0,2.2156432099562338,15.494526860593028,0.0
BASELINE,46,2026-05-04 03:02:20+00:00,2026-05,HIGH,-1.0025990734353,1.0,-1.0025990734353,14.491927787157728,1.0025990734353005
BASELINE,47,2026-05-06 15:19:16+00:00,2026-05,LOW,1.1761398401768373,1.0,1.1761398401768373,15.668067627334565,0.0
BASELINE,48,2026-05-08 14:31:00+00:00,2026-05,NORMAL,0.5540853877566851,1.0,0.5540853877566851,16.22215301509125,0.0
BASELINE,49,2026-05-09 18:36:02+00:00,2026-05,HIGH,0.6119787609668341,1.0,0.6119787609668341,16.834131776058086,0.0
BASELINE,50,2026-05-10 23:55:20+00:00,2026-05,HIGH,-0.2284270728371984,1.0,-0.2284270728371984,16.605704703220887,0.22842707283719932
BASELINE,51,2026-05-12 02:52:48+00:00,2026-05,NORMAL,0.1912103614828527,1.0,0.1912103614828527,16.79691506470374,0.0372167113543469
BASELINE,52,2026-05-13 12:04:15+00:00,2026-05,NORMAL,2.216404153988227,1.0,2.216404153988227,19.013319218691965,0.0
BASELINE,53,2026-05-14 07:04:15+00:00,2026-05,NORMAL,2.218100609384515,1.0,2.218100609384515,21.23141982807648,0.0
BASELINE,54,2026-05-15 14:02:11+00:00,2026-05,NORMAL,0.9076055077699317,1.0,0.9076055077699317,22.139025335846412,0.0
BASELINE,55,2026-05-16 23:49:28+00:00,2026-05,NORMAL,-1.0129442608366546,1.0,-1.0129442608366546,21.126081075009758,1.0129442608366546
BASELINE,56,2026-05-17 01:23:16+00:00,2026-05,LOW,-1.0085498211473831,1.0,-1.0085498211473831,20.117531253862374,2.021494081984038
BASELINE,57,2026-05-18 00:02:00+00:00,2026-05,NORMAL,-1.0033537464931936,1.0,-1.0033537464931936,19.11417750736918,3.024847828477231
BASELINE,58,2026-05-18 16:36:25+00:00,2026-05,LOW,-0.1752802944823172,1.0,-0.1752802944823172,18.938897212886864,3.2001281229595477
BASELINE,59,2026-05-21 11:12:55+00:00,2026-05,NORMAL,0.0046153867505559,1.0,0.0046153867505559,18.94351259963742,3.1955127362089932
BASELINE,60,2026-05-22 15:05:45+00:00,2026-05,HIGH,2.217089737144711,1.0,2.217089737144711,21.16060233678213,0.9784229990642821
BASELINE,61,2026-05-23 08:48:39+00:00,2026-05,LOW,-1.005252196497164,1.0,-1.005252196497164,20.155350140284966,1.983675195561446
BASELINE,62,2026-05-23 15:28:52+00:00,2026-05,NORMAL,2.2165710925088407,1.0,2.2165710925088407,22.371921232793806,0.0
BASELINE,63,2026-05-25 00:49:45+00:00,2026-05,NORMAL,0.3222793723333576,1.0,0.3222793723333576,22.694200605127165,0.0
BASELINE,64,2026-05-26 01:47:39+00:00,2026-05,NORMAL,-1.0047465435878355,1.0,-1.0047465435878355,21.68945406153933,1.004746543587835
BASELINE,65,2026-05-26 16:30:42+00:00,2026-05,HIGH,0.7995608242595396,1.0,0.7995608242595396,22.48901488579887,0.20518571932829488
BASELINE,66,2026-05-27 22:16:55+00:00,2026-05,LOW,2.2174768749061218,1.0,2.2174768749061218,24.706491760704992,0.0
BASELINE,67,2026-05-28 14:22:19+00:00,2026-05,LOW,-0.4739126787921247,1.0,-0.4739126787921247,24.232579081912867,0.47391267879212506
BASELINE,68,2026-05-30 14:45:00+00:00,2026-05,NORMAL,-1.0101392651997998,1.0,-1.0101392651997998,23.222439816713067,1.4840519439919255
BASELINE,69,2026-06-01 15:30:33+00:00,2026-06,HIGH,2.2200915466734976,1.0,2.2200915466734976,25.442531363386564,0.0
