variant,verdict,positive_historical_years,historical_years_total,positive_2026_months,forward_months_total,frequency_ok,dd_guard_ok,hist_N,hist_EV,hist_PF,hist_SumR,hist_DD,hist_R_DD,fwd_N,fwd_EV,fwd_PF,fwd_SumR,fwd_DD,fwd_R_DD,hist_median_hold,fwd_median_hold
CONTROL_V191,SUPPORTIVE,4,5,4,6,True,True,2967,0.026906407582232342,1.105187942912335,79.83131129648336,20.46918397243448,3.9000729781895997,316,0.04636874568363749,1.188897611414058,14.652523636029446,9.587359830977178,1.5283168561887606,26.0,24.025
EXITZ_OFF,SUPPORTIVE,4,5,4,6,True,True,2957,0.021954710504750296,1.0835942653729314,64.92007896254663,25.461470679726048,2.5497379856474627,315,0.055254093469965695,1.2238174461411115,17.405039443039193,9.26067077870482,1.8794577476031846,28.0,24.183333333333334
BE_OFF,MIXED,5,5,4,6,True,False,2937,0.07434606858972641,1.1419652031633143,218.35440344802646,25.361331027383542,8.609737525694584,315,0.027761531142577327,1.0503911053869013,8.744882309911858,24.25572024523108,0.36052865969342596,66.0,58.63333333333333
TRAIL_OFF,MIXED,5,5,6,6,True,False,2936,0.03699678767298025,1.1450633762878806,108.62256860787002,34.809296645575074,3.1205045512368326,312,0.2168189599970708,1.8720772304264923,67.64751551908608,12.208842103629177,5.540862511357839,28.5,26.958333333333336
HOLD_3H,SUPPORTIVE,4,5,4,6,True,True,2969,0.02432647851108964,1.0956004784818556,72.22531469942514,23.405455372431746,3.0858324929023238,317,0.03437199389534165,1.1397394498058748,10.895922064823303,9.540690482164,1.1420475368310985,26.0,24.083333333333332
HOLD_2H,MIXED,4,5,4,6,True,False,2972,0.022929174110364957,1.091171041661318,68.14550545600466,23.005278421791274,2.9621682557623488,317,0.031698498247722355,1.1304506615022092,10.048423944527986,9.700107962439183,1.035908464466329,25.0,24.083333333333332
TP_1R,MIXED,3,5,3,6,True,True,2997,0.004484047387800939,1.0175680546607246,13.438690021239413,38.93333506446813,0.3451718173895668,318,0.026073334260329577,1.1068901602248613,8.291320294784805,9.508842103629151,0.8719589834834185,22.0,21.608333333333334
TP_1P5R,MIXED,4,5,2,6,True,True,2978,0.012505814304276504,1.0488135190191337,37.24231499813543,24.014071259057044,1.5508538554906335,317,0.03923368058697426,1.1603364818691893,12.43707674607084,9.486555381718189,1.3110213608238335,25.0,23.283333333333335
SL1_TP1,FAILED,0,5,4,6,True,True,3003,-0.03260726575682108,0.9084925501213396,-97.9196190677337,118.7103891370079,-0.8248614108637213,318,0.018078614760158023,1.0517641725583522,5.748999493730252,8.693864898893704,0.6612708571606413,15.0,14.341666666666667
SL1_TP1P5,FAILED,2,5,3,6,True,False,3000,-0.011383319859382224,0.9680258281297386,-34.14995957814667,70.81896197423052,-0.48221491287281365,318,0.0008059613798966044,1.0023074562794079,0.2562957188071202,14.401152093645868,0.01779688993911841,17.0,15.966666666666665
