period,variant,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses
historical,V192_CANONICAL_CONTROL,1147,0.44725370531822145,0.11484303190535335,1.238697793391438,131.7249575954403,16.86443455010641,7.810813769300622,11
historical,V191D_CONTROL,5405,0.6747456059204441,-0.0458964784402402,0.8468582605181297,-248.0704659694983,264.09040894252206,-0.9393391716224332,6
historical,V191D_PLUS_ADVERSE075,5402,0.7056645686782673,-0.004553378368282364,0.9832952214022981,-24.597349945461332,67.82528687387124,-0.3626575143162,6
historical,V191D_PLUS_FRESH45_PLUS_ADVERSE075,5402,0.7117734172528694,0.0001912575886450288,1.0007140025166503,1.0331734938604455,59.969347500187965,0.017228359769250568,6
historical,V191D_PLUS_ADVERSE075_EXITZ_OFF,5401,0.7161636733938159,-0.007631726630580305,0.9730505555575131,-41.21895553176423,74.77949135226518,-0.5512066849665145,6
historical,V191D_PLUS_FRESH45_ADVERSE075_EXITZ_OFF,5401,0.7207924458433623,-0.0035884952887592853,0.9871439939137601,-19.3814630545889,62.170851751625705,-0.31174517492567716,6
historical,FULL_V191F_CONTROL,5403,0.7210808809920415,-0.000603765852301796,0.9978344428262406,-3.262146899986604,52.94598730094388,-0.06161273150776526,6
2026,V192_CANONICAL_CONTROL,135,0.4666666666666667,0.19629958785586393,1.4313396751426626,26.500444360541632,6.489289729509487,4.083720324588551,7
2026,V191D_CONTROL,552,0.6938405797101449,-0.04892063920099753,0.83072399194302,-27.004192838950637,39.43829219998417,-0.6847201370185466,6
2026,V191D_PLUS_ADVERSE075,550,0.7054545454545454,-0.03598974445554303,0.8728095586111995,-19.79435945054867,43.02234164217646,-0.46009488779531,6
2026,V191D_PLUS_FRESH45_PLUS_ADVERSE075,550,0.7109090909090909,-0.0329981253866293,0.8823351991089308,-18.148968962646116,42.653293020237896,-0.42549983078762277,6
2026,V191D_PLUS_ADVERSE075_EXITZ_OFF,550,0.7127272727272728,-0.03772117442602223,0.8690263601332362,-20.746645934312227,40.72201356638176,-0.5094700413203465,6
2026,V191D_PLUS_FRESH45_ADVERSE075_EXITZ_OFF,550,0.7181818181818181,-0.03305191395027037,0.8835423043677274,-18.178552672648703,39.25390804725209,-0.4631017286423094,6
2026,FULL_V191F_CONTROL,550,0.7163636363636363,-0.03697320912118664,0.8705674014807673,-20.33526501665265,35.38074671458145,-0.5747551113236365,5
