R,signal_ts,entry_ts,exit_ts,side,exit_reason,confirm_age_min,confirm_z,max_adverse_atr,response_ratio,signal_z,signal_abs_z,signal_atr,signal_px,atr_pct,h1_state,h4_state,trend_relation,vol_regime,mins_since_prior_same_extreme,episode_role,z_bucket,confirm_speed,adverse_bucket,response_bucket,prior_extreme_gap,z_persistence,z_persistence_bucket
-1.0045178823372276,1772336100,1772336642,1772346832,1,SL,9.033333333333333,-1.7306095206421706,0.0010023196540565305,302.7996979010555,-1.7614689956904233,1.7614689956904233,498.8428571428573,67460.1,0.0073946356015312355,0,0,MIXED,UNKNOWN,5.0,REPEAT_WITHIN_3H,1.50-2.00,5-15m,<=0.15,2.00+,<=30m,0.982480829850122,0.75-1.00
0.09139338805036606,1772346900,1772349098,1772352222,1,PROTECTED_STOP,36.63333333333333,-1.439137500106362,0.4256913077008121,0.8541666646599535,-1.5394141160193202,1.5394141160193202,259.34285714285943,66867.6,0.0038784531992005007,1,0,MIXED,UNKNOWN,5.0,REPEAT_WITHIN_3H,1.50-2.00,30-45m,0.30-0.50,0.75-1.00,<=30m,0.9348605324126866,0.75-1.00
0.09042583335899877,1772355300,1772355316,1772357092,1,PROTECTED_STOP,0.26666666666666666,-1.0963588763731107,0.08974082406232353,4.144230723053654,-1.0963588763731107,1.0963588763731107,231.77857142857414,66486.4,0.0034861049993468464,1,0,MIXED,UNKNOWN,80.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,<=0.15,2.00+,30-90m,0.9999999999990878,0.75-1.00
-1.005030368114903,1772410200,1772410514,1772412298,-1,SL,5.233333333333333,1.7279868296728356,0.49228955898239113,0.6322160136133907,1.5876090390570725,1.5876090390570725,436.3285714285718,65982.6,0.00661278233092621,-1,-1,ALIGNED_WITH,UNKNOWN,5.0,REPEAT_WITHIN_3H,1.50-2.00,5-15m,0.30-0.50,<0.75,<=30m,1.0884208814394563,1.00-1.50
0.09542341756884232,1772412300,1772413388,1772418821,-1,PROTECTED_STOP,18.133333333333333,1.1143833873615436,0.44828452006440184,0.6881918803836289,1.5657876365773116,1.5657876365773116,483.6214285714278,66549.2,0.007267126104768019,-1,-1,ALIGNED_WITH,UNKNOWN,5.0,REPEAT_WITHIN_3H,1.50-2.00,15-30m,0.30-0.50,<0.75,<=30m,0.7117078723375196,0.50-0.75
0.09212396357535525,1772435400,1772435540,1772438538,1,PROTECTED_STOP,2.3333333333333335,-1.020269899656922,0.27713874910138564,1.2892347553997607,-1.020269899656922,1.020269899656922,278.20000000000124,65634.0,0.004238656793734973,0,-1,MIXED,UNKNOWN,5.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,0.15-0.30,1.00-2.00,<=30m,0.9999999999990198,0.75-1.00
0.09106209918748871,1772496000,1772496227,1772498886,1,PROTECTED_STOP,3.783333333333333,-1.7879566484595721,0.2618749826287674,1.6300148526164957,-1.7879566484595721,1.7879566484595721,256.99285714285674,68801.8,0.0037352635707620548,1,1,ALIGNED_WITH,UNKNOWN,5.0,REPEAT_WITHIN_3H,1.50-2.00,<=5m,0.15-0.30,1.00-2.00,<=30m,0.9999999999994407,0.75-1.00
0.09210264154061996,1772510400,1772511407,1772514450,-1,PROTECTED_STOP,16.783333333333335,1.7856969191431362,0.2652120009917963,1.298429314475972,1.017421634120145,1.017421634120145,288.07142857142964,68349.3,0.0042146946431262594,1,1,ALIGNED_COUNTER,UNKNOWN,790.0,FIRST_OR_RESET,1.00-1.25,15-30m,0.15-0.30,1.00-2.00,>180m,1.7551198630503193,1.50+
-1.0094992029442191,1772517300,1772517372,1772520925,-1,SL,1.2,2.9046499565376345,0.1251687618133395,2.4194630679186733,2.9046499565376345,2.9046499565376345,238.0785714285708,67918.8,0.00350534125203288,1,1,ALIGNED_COUNTER,UNKNOWN,5.0,REPEAT_WITHIN_3H,2.50+,<=5m,<=0.15,2.00+,<=30m,0.9999999999996557,0.75-1.00
-1.0075058348047894,1772582700,1772583564,1772584569,1,SL,14.4,-1.73020289234131,0.5652736904061174,0.5475218649205829,-1.495896213769151,1.495896213769151,303.3928571428592,68222.6,0.004447101944851988,1,1,ALIGNED_WITH,UNKNOWN,5.0,REPEAT_WITHIN_3H,1.25-1.50,5-15m,0.50-0.75,<0.75,<=30m,1.156632977885965,1.00-1.50
