period,mode,arm_ATR,gap_ATR,N,WR,EV,SumR,PF,MaxDD_R,R_DD,MaxConsecutiveLosses,DeltaSumR,DeltaEV,DeltaDD,PositivePeriods,Exit_SL,Exit_TIME,Exit_TP,Exit_TRAIL
historical,CONTROL,0.0,0.0,1642,0.4336175395858709,0.07454306369074261,122.39971058019937,1.150989525720721,19.82565683656125,6.173803551087265,13,0.0,0.0,0.0,5,0,1642,0,0
historical,T25_G05,2.5,0.5,1642,0.6345919610231425,0.036840974634127575,60.49288034923748,1.1114500116825499,13.580557580004175,4.454373835011484,7,-61.90683023096189,-0.03770208905661503,-6.245099256557076,5,506,120,3,1013
historical,T35_G05,3.5,0.5,1642,0.5669914738124239,0.055756646689525624,91.55241386420107,1.145838596487579,21.384160562819673,4.281319044310859,8,-30.847296715998297,-0.018786417001216985,1.5585037262584223,5,580,203,4,855
historical,T50_G05,5.0,0.5,1642,0.5018270401948843,0.06592706743816756,108.25224473347114,1.1509756907572963,22.282264663112965,4.858224528347725,9,-14.147465846728224,-0.008615996252575045,2.456607826551714,5,662,324,6,650
historical,T80_G10,8.0,1.0,1642,0.44884287454323996,0.07350458944821588,120.69453587397048,1.1531412123575666,19.608832587429745,6.155110730627676,10,-1.7051747062288882,-0.0010384742425267324,-0.21682424913150555,4,727,514,70,331
historical,T80_G20,8.0,2.0,1642,0.44884287454323996,0.0674359639132515,110.72985274555897,1.1404976933780713,20.05505961509885,5.521292624939086,10,-11.669857834640396,-0.007107099777491105,0.22940277853759738,4,727,521,144,250
forward_shadow_2026,CONTROL,0.0,0.0,176,0.42045454545454547,0.09724566352430898,17.11523678027838,1.1980013144084698,8.343985928106411,2.051206333249716,9,0.0,0.0,0.0,4,0,176,0,0
forward_shadow_2026,T25_G05,2.5,0.5,176,0.6306818181818182,0.021429995067167935,3.7716791318215566,1.0654282359397145,5.440873345292263,0.6932120805725089,4,-13.343557648456823,-0.07581566845714105,-2.903112582814148,4,55,10,0,111
forward_shadow_2026,T35_G05,3.5,0.5,176,0.5511363636363636,0.03770609512585152,6.636272742149868,1.0983527832922093,5.749751958150227,1.1541841788049665,4,-10.478964038128513,-0.05953956839845746,-2.594233969956184,4,64,19,0,93
forward_shadow_2026,T50_G05,5.0,0.5,176,0.4772727272727273,0.03728908495345663,6.562878951808368,1.0844155340444743,8.295038087109518,0.7911812921036585,9,-10.552357828470011,-0.05995657857085235,-0.04894784099689353,3,73,30,0,73
forward_shadow_2026,T80_G10,8.0,1.0,176,0.42613636363636365,0.06723526852834455,11.83340726098864,1.1385203002930087,8.295038087109516,1.4265645481939073,9,-5.28182951928974,-0.03001039499596443,-0.04894784099689531,5,80,53,7,36
forward_shadow_2026,T80_G20,8.0,2.0,176,0.42613636363636365,0.07143211362267579,12.57205199759094,1.1471667778854189,8.295038087109516,1.5156111238510044,9,-4.54318478268744,-0.02581354990163319,-0.04894784099689531,4,80,55,17,24
