lab,variant,period,N,trades_per_month,EV,PF,SumR,MaxDD_R,R_DD,positive_periods,time_exit,tp_exit,sl_exit
038A,60,historical,1617,26.95,0.0844871758261805,1.1726024783537283,136.61576331093386,18.814135954048083,7.261336031832988,5,596,292,729
038A,90,historical,1627,27.116666666666667,0.06753464151795485,1.1363103893959805,109.87886174971254,30.45739069568822,3.607625579208525,5,598,287,742
038A,120,historical,1641,27.35,0.04645745685642753,1.09252457091804,76.23668670139757,45.57177152819491,1.6728927611302211,4,603,281,757
038A,180,historical,1648,27.466666666666665,0.04527639326193989,1.0901179008423088,74.61549609567695,43.159185301251625,1.7288439430647242,4,602,284,762
038A,60,2026,172,28.666666666666668,0.13211627080977384,1.2757932715976612,22.7239985792811,8.014074755501825,2.8355111815847005,4,64,31,77
038A,90,2026,171,28.5,0.12449391261507947,1.2631311544183081,21.28845905717859,11.191793666654839,1.9021489933830762,4,66,30,75
038A,120,2026,173,28.833333333333332,0.10745626919615747,1.2274817175793433,18.58993457093524,10.145824838369949,1.8322743460572046,4,68,30,75
038A,180,2026,171,28.5,0.08837221077878873,1.1862955084706066,15.111648043172874,9.909006489825629,1.5250416940072866,4,67,29,75
038B,24,historical,1617,26.95,0.0844871758261805,1.1726024783537283,136.61576331093386,18.814135954048083,7.261336031832988,5,596,292,729
038B,18,historical,1763,29.383333333333333,0.05178068992618651,1.1148250920823908,91.28935633986681,28.943168134101086,3.154089970970003,5,815,250,698
038B,12,historical,1988,33.13333333333333,0.0580137180744792,1.150077637946004,115.33127153206465,23.58496301203047,4.8900340218144605,5,1136,215,637
038B,8,historical,2221,37.016666666666666,0.04077762751004831,1.1228653970883087,90.5671106998173,26.250660371677206,3.4500888517659334,5,1499,154,568
038B,6,historical,2354,39.233333333333334,0.022316085784999173,1.0759127763756544,52.53206593788805,41.526090372691755,1.2650376056695674,4,1770,104,480
038B,24,2026,172,28.666666666666668,0.13211627080977384,1.2757932715976612,22.7239985792811,8.014074755501825,2.8355111815847005,4,64,31,77
038B,18,2026,189,31.5,0.1301487614001916,1.2985314163460642,24.598115904636213,7.386448160121969,3.330168353097876,3,84,30,75
038B,12,2026,218,36.333333333333336,0.06672110776407021,1.179061974034759,14.545201492567305,11.800569877256297,1.2325846669999254,4,129,22,67
038B,8,2026,253,42.166666666666664,0.05908214207853226,1.1840546805677508,14.947781945868662,10.978968750930216,1.361492348231903,4,178,15,60
038B,6,2026,271,45.166666666666664,0.054913761162162705,1.1952174850875767,14.881629274946093,10.620993847376724,1.4011522357318476,4,207,13,51
038C,C60_H24,historical,1617,26.95,0.0844871758261805,1.1726024783537283,136.61576331093386,18.814135954048083,7.261336031832988,5,596,292,729
038C,C180_H24,historical,1648,27.466666666666665,0.04527639326193989,1.0901179008423088,74.61549609567695,43.159185301251625,1.7288439430647242,4,602,284,762
038C,C60_H12,historical,1988,33.13333333333333,0.0580137180744792,1.150077637946004,115.33127153206465,23.58496301203047,4.8900340218144605,5,1136,215,637
038C,C180_H12,historical,2047,34.11666666666667,0.022600333082411918,1.0564252346330083,46.2628818196972,35.166820121065285,1.3155264439728305,4,1171,204,672
038C,C60_H6,historical,2354,39.233333333333334,0.022316085784999173,1.0759127763756544,52.53206593788805,41.526090372691755,1.2650376056695674,4,1770,104,480
038C,C180_H6,historical,2421,40.35,-0.00046288518708713757,0.998500043391982,-1.12064503793796,61.99417285813251,-0.018076618918723936,2,1799,106,516
038C,C60_H24,2026,172,28.666666666666668,0.13211627080977384,1.2757932715976612,22.7239985792811,8.014074755501825,2.8355111815847005,4,64,31,77
038C,C180_H24,2026,171,28.5,0.08837221077878873,1.1862955084706066,15.111648043172874,9.909006489825629,1.5250416940072866,4,67,29,75
038C,C60_H12,2026,218,36.333333333333336,0.06672110776407021,1.179061974034759,14.545201492567305,11.800569877256297,1.2325846669999254,4,129,22,67
038C,C180_H12,2026,222,37.0,0.046761259961498075,1.1204189232748978,10.380999711452572,16.64446213068196,0.6236909087207159,2,127,23,72
038C,C60_H6,2026,271,45.166666666666664,0.054913761162162705,1.1952174850875767,14.881629274946093,10.620993847376724,1.4011522357318476,4,207,13,51
038C,C180_H6,2026,268,44.666666666666664,0.06765248053649628,1.2438929972640813,18.130864783781004,10.7792210619705,1.6820199418441637,3,203,17,48
