market,year,head,n,mean
BTCUSDT,2021,EXP_BULL,15,0.24680095870978816
BTCUSDT,2021,EXP_BEAR,5,0.19766670513737888
BTCUSDT,2021,RET_BULL,463,0.2378710960968968
BTCUSDT,2021,RET_BEAR,285,0.02799282297995821
BTCUSDT,2021,COMP_BULL,29,0.20689655172413793
BTCUSDT,2021,COMP_BEAR,5,0.8
BTCUSDT,2022,EXP_BULL,14,-0.28632723244652264
BTCUSDT,2022,EXP_BEAR,26,0.326004146591221
BTCUSDT,2022,RET_BULL,235,-0.4487249545924847
BTCUSDT,2022,RET_BEAR,526,-0.1565562651176989
BTCUSDT,2022,COMP_BULL,26,0.5
BTCUSDT,2022,COMP_BEAR,9,1.0
BTCUSDT,2023,EXP_BULL,43,0.3461820652489836
BTCUSDT,2023,EXP_BEAR,6,0.5378753877299632
BTCUSDT,2023,RET_BULL,573,0.2265001784710082
BTCUSDT,2023,RET_BEAR,191,-0.32100691285150973
BTCUSDT,2023,COMP_BULL,16,0.75
BTCUSDT,2023,COMP_BEAR,9,0.7777777777777778
BTCUSDT,2024,EXP_BULL,50,0.3447082608510029
BTCUSDT,2024,EXP_BEAR,9,0.2352084344215337
BTCUSDT,2024,RET_BULL,579,0.09363842850515545
BTCUSDT,2024,RET_BEAR,231,0.13021778163788078
BTCUSDT,2024,COMP_BULL,25,0.56
BTCUSDT,2024,COMP_BEAR,2,0.5
BTCUSDT,2025,EXP_BULL,35,0.019798405583158596
BTCUSDT,2025,EXP_BEAR,17,-0.12577384389940774
BTCUSDT,2025,RET_BULL,383,0.3029683258513559
BTCUSDT,2025,RET_BEAR,316,-0.20766525415601267
BTCUSDT,2025,COMP_BULL,35,0.6
BTCUSDT,2025,COMP_BEAR,7,0.42857142857142855
BTCUSDT,2026,EXP_BULL,9,-0.33560582848452825
BTCUSDT,2026,EXP_BEAR,20,0.2758583300141135
BTCUSDT,2026,RET_BULL,213,-0.10116692315630904
BTCUSDT,2026,RET_BEAR,230,0.11071429581397634
BTCUSDT,2026,COMP_BULL,10,0.5
BTCUSDT,2026,COMP_BEAR,0,
EURUSD,2023,EXP_BULL,37,0.10510303348047215
EURUSD,2023,EXP_BEAR,6,-0.16393163919722087
EURUSD,2023,RET_BULL,221,0.12049674115736538
EURUSD,2023,RET_BEAR,181,0.09503356727084887
EURUSD,2023,COMP_BULL,22,0.4090909090909091
EURUSD,2023,COMP_BEAR,3,1.0
EURUSD,2024,EXP_BULL,29,-0.18464702973886224
EURUSD,2024,EXP_BEAR,11,-0.12325830975867752
EURUSD,2024,RET_BULL,182,-0.012895915831355664
EURUSD,2024,RET_BEAR,205,0.1276609520291188
EURUSD,2024,COMP_BULL,23,0.4782608695652174
EURUSD,2024,COMP_BEAR,5,0.6
EURUSD,2025,EXP_BULL,40,0.32983867663683075
EURUSD,2025,EXP_BEAR,4,-0.4969274519910269
EURUSD,2025,RET_BULL,310,-0.273187662717733
EURUSD,2025,RET_BEAR,83,-0.4783056466347778
EURUSD,2025,COMP_BULL,32,0.75
EURUSD,2025,COMP_BEAR,16,0.5
EURUSD,2026,EXP_BULL,11,0.024964807849284242
EURUSD,2026,EXP_BEAR,12,-0.10968037646606103
EURUSD,2026,RET_BULL,71,-0.31189968164321163
EURUSD,2026,RET_BEAR,119,-0.044916329252050066
EURUSD,2026,COMP_BULL,7,0.14285714285714285
EURUSD,2026,COMP_BEAR,8,0.5
XAUUSD,2022,EXP_BULL,17,0.05777792738671265
XAUUSD,2022,EXP_BEAR,9,-0.06305661915832655
XAUUSD,2022,RET_BULL,99,-0.18935505332348024
XAUUSD,2022,RET_BEAR,93,-0.17454053428557084
XAUUSD,2022,COMP_BULL,8,0.5
XAUUSD,2022,COMP_BEAR,1,0.0
XAUUSD,2023,EXP_BULL,27,-0.13667033412962337
XAUUSD,2023,EXP_BEAR,19,0.27588403165297254
XAUUSD,2023,RET_BULL,274,0.3822776433809016
XAUUSD,2023,RET_BEAR,144,0.11344284722900354
XAUUSD,2023,COMP_BULL,17,0.7647058823529411
XAUUSD,2023,COMP_BEAR,6,1.0
XAUUSD,2024,EXP_BULL,52,-0.020007609162629773
XAUUSD,2024,EXP_BEAR,5,0.05926485695056285
XAUUSD,2024,RET_BULL,374,0.32456043962699876
XAUUSD,2024,RET_BEAR,38,-0.3069007646185359
XAUUSD,2024,COMP_BULL,18,0.3888888888888889
XAUUSD,2024,COMP_BEAR,1,0.0
XAUUSD,2025,EXP_BULL,82,0.09547216422551062
XAUUSD,2025,EXP_BEAR,0,
XAUUSD,2025,RET_BULL,416,0.441470539374764
XAUUSD,2025,RET_BEAR,7,-1.5874384726104454
XAUUSD,2025,COMP_BULL,21,0.6666666666666666
XAUUSD,2025,COMP_BEAR,6,0.3333333333333333
XAUUSD,2026,EXP_BULL,27,0.3869695670852345
XAUUSD,2026,EXP_BEAR,15,0.12908491708331865
XAUUSD,2026,RET_BULL,74,0.46501508297869576
XAUUSD,2026,RET_BEAR,122,-0.0021539736591827522
XAUUSD,2026,COMP_BULL,4,0.0
XAUUSD,2026,COMP_BEAR,0,
