head,market,n,metric,value
EXPANSION_BULL,AUDUSD,57,mean_signed_atr,-0.043448632671582825
EXPANSION_BULL,GBPUSD,72,mean_signed_atr,0.046976131154351224
EXPANSION_BULL,USDCAD,72,mean_signed_atr,-0.13300480514097535
EXPANSION_BULL,USDJPY,56,mean_signed_atr,0.1797155197769806
EXPANSION_BEAR,AUDUSD,22,mean_signed_atr,0.041518974737781086
EXPANSION_BEAR,GBPUSD,35,mean_signed_atr,-0.2070637966964899
EXPANSION_BEAR,USDCAD,20,mean_signed_atr,-0.12165429630707628
EXPANSION_BEAR,USDJPY,19,mean_signed_atr,-0.21512566297165212
RETRACEMENT_BULL,AUDUSD,499,mean_signed_atr,-0.08714097695595055
RETRACEMENT_BULL,GBPUSD,470,mean_signed_atr,-0.1564228127958041
RETRACEMENT_BULL,USDCAD,438,mean_signed_atr,0.05532413171345626
RETRACEMENT_BULL,USDJPY,517,mean_signed_atr,0.014427344108276145
RETRACEMENT_BEAR,AUDUSD,284,mean_signed_atr,-0.2164810738100666
RETRACEMENT_BEAR,GBPUSD,325,mean_signed_atr,-0.17692616680851125
RETRACEMENT_BEAR,USDCAD,277,mean_signed_atr,0.054238482420548496
RETRACEMENT_BEAR,USDJPY,233,mean_signed_atr,-0.39641852365997327
COMPRESSION_BULL,AUDUSD,44,accuracy,0.6363636363636364
COMPRESSION_BULL,GBPUSD,34,accuracy,0.7058823529411765
COMPRESSION_BULL,USDCAD,29,accuracy,0.27586206896551724
COMPRESSION_BULL,USDJPY,57,accuracy,0.49122807017543857
COMPRESSION_BEAR,AUDUSD,9,accuracy,0.4444444444444444
COMPRESSION_BEAR,GBPUSD,11,accuracy,0.5454545454545454
COMPRESSION_BEAR,USDCAD,7,accuracy,1.0
COMPRESSION_BEAR,USDJPY,2,accuracy,0.0
