market,state,bars,bull_n,bear_n,wait_n
AUDUSD,COMPRESSION,381,18,0,363
AUDUSD,EXPANSION,139,0,0,139
AUDUSD,RETRACEMENT,782,14,29,739
BTCUSDT,COMPRESSION,596,37,54,505
BTCUSDT,EXPANSION,169,0,0,169
BTCUSDT,RETRACEMENT,1047,45,0,1002
EURUSD,COMPRESSION,484,103,1,380
EURUSD,EXPANSION,129,0,0,129
EURUSD,RETRACEMENT,682,0,39,643
GBPUSD,COMPRESSION,388,0,0,388
GBPUSD,EXPANSION,173,0,0,173
GBPUSD,RETRACEMENT,760,18,4,738
USDCAD,COMPRESSION,390,0,17,373
USDCAD,EXPANSION,170,0,0,170
USDCAD,RETRACEMENT,725,105,28,592
USDJPY,COMPRESSION,440,13,18,409
USDJPY,EXPANSION,124,0,0,124
USDJPY,RETRACEMENT,736,10,0,726
XAUUSD,COMPRESSION,461,128,29,304
XAUUSD,EXPANSION,162,3,0,159
XAUUSD,RETRACEMENT,645,68,43,534
