market,state,bars
XAUUSD,PULLBACK,15
XAUUSD,TRANSITION,5
XAUUSD,PULLBACK,1
XAUUSD,TRANSITION,6
XAUUSD,TRANSITION,6
XAUUSD,PULLBACK,1
XAUUSD,TRANSITION,4
XAUUSD,PULLBACK,5
XAUUSD,TRANSITION,2
XAUUSD,RANGE,3
XAUUSD,TRANSITION,5
XAUUSD,EXPANSION,2
XAUUSD,TRANSITION,2
XAUUSD,TRANSITION,12
XAUUSD,PULLBACK,1
XAUUSD,TRANSITION,6
XAUUSD,RANGE,6
XAUUSD,TRANSITION,5
XAUUSD,TRANSITION,1
XAUUSD,RANGE,4
XAUUSD,TRANSITION,2
XAUUSD,PULLBACK,3
XAUUSD,TRANSITION,3
XAUUSD,PULLBACK,16
XAUUSD,TRANSITION,1
XAUUSD,PULLBACK,4
XAUUSD,TRANSITION,1
XAUUSD,RANGE,25
XAUUSD,TRANSITION,1
XAUUSD,EXPANSION,5
XAUUSD,TRANSITION,2
XAUUSD,PULLBACK,12
XAUUSD,TRANSITION,1
XAUUSD,RANGE,5
XAUUSD,TRANSITION,4
XAUUSD,TRANSITION,2
XAUUSD,EXPANSION,1
XAUUSD,TRANSITION,1
XAUUSD,PULLBACK,8
XAUUSD,TRANSITION,1
XAUUSD,PULLBACK,1
XAUUSD,TRANSITION,1
XAUUSD,EXPANSION,8
XAUUSD,TRANSITION,3
XAUUSD,PULLBACK,4
XAUUSD,PULLBACK,11
XAUUSD,TRANSITION,4
XAUUSD,PULLBACK,1
XAUUSD,TRANSITION,10
XAUUSD,RANGE,4
XAUUSD,RANGE,11
XAUUSD,TRANSITION,4
XAUUSD,PULLBACK,2
XAUUSD,TRANSITION,2
XAUUSD,EXPANSION,10
XAUUSD,TRANSITION,1
XAUUSD,TRANSITION,5
XAUUSD,PULLBACK,22
XAUUSD,TRANSITION,2
XAUUSD,EXPANSION,1
XAUUSD,EXPANSION,2
XAUUSD,TRANSITION,1
XAUUSD,PULLBACK,1
XAUUSD,TRANSITION,1
XAUUSD,EXPANSION,3
XAUUSD,TRANSITION,1
XAUUSD,PULLBACK,3
XAUUSD,TRANSITION,6
XAUUSD,EXPANSION,1
XAUUSD,TRANSITION,2
