market,state,n,occupancy
XAUUSD,EXPANSION,762,0.12258687258687259
XAUUSD,PULLBACK,1718,0.27638352638352637
XAUUSD,RANGE,1747,0.28104890604890603
XAUUSD,REVERSAL,1,0.00016087516087516087
XAUUSD,TRANSITION,1988,0.31981981981981983
BTCUSDT,EXPANSION,1094,0.09096200216180261
BTCUSDT,PULLBACK,3858,0.32077824893988527
BTCUSDT,RANGE,3318,0.27587927163881265
BTCUSDT,REVERSAL,4,0.0003325850170449821
BTCUSDT,TRANSITION,3753,0.3120478922424545
EURUSD,EXPANSION,579,0.10897797854319594
EURUSD,PULLBACK,1528,0.28759646150950496
EURUSD,RANGE,1608,0.3026538678712592
EURUSD,REVERSAL,1,0.00018821757952192734
EURUSD,TRANSITION,1597,0.30058347449651796
