market,head,side,n,mean
BTCUSDT,EXPANSION,BULL,365,0.1151967075764739
BTCUSDT,EXPANSION,BEAR,413,0.07539967796664716
BTCUSDT,COMPRESSION,BULL,613,0.5122349102773246
BTCUSDT,COMPRESSION,BEAR,487,0.48459958932238195
EURUSD,EXPANSION,BULL,188,0.020511467741791533
EURUSD,EXPANSION,BEAR,170,-0.0008027143623134111
EURUSD,COMPRESSION,BULL,282,0.5957446808510638
EURUSD,COMPRESSION,BEAR,331,0.4561933534743202
XAUUSD,EXPANSION,BULL,304,0.09351561138442462
XAUUSD,EXPANSION,BEAR,174,-0.0031394078222320336
XAUUSD,COMPRESSION,BULL,229,0.5895196506550219
XAUUSD,COMPRESSION,BEAR,354,0.5
