market,year,exp_high_n,exp_high_mean,ret_cont_n,ret_cont_mean,comp_n,comp_accuracy
BTCUSDT,2021,20,-0.060988201110129626,703,0.182825018498574,182,0.35714285714285715
BTCUSDT,2022,49,0.03847013164196163,730,-0.22376417680013996,162,0.6172839506172839
BTCUSDT,2023,49,0.38082655654740066,717,0.07789187623803029,191,0.5026178010471204
BTCUSDT,2024,63,0.16037813603398746,741,0.11680576059729067,214,0.5046728971962616
BTCUSDT,2025,54,-0.13915182917230984,639,0.11438062251555797,214,0.5700934579439252
BTCUSDT,2026,41,0.18207205963167813,405,0.024665806887332966,137,0.4306569343065693
EURUSD,2023,44,0.06501779305426943,369,0.10520570578308588,131,0.5725190839694656
EURUSD,2024,46,-0.1267052208961547,344,0.05365107109459975,180,0.5
EURUSD,2025,45,0.23620713511013858,320,-0.32762058977062003,201,0.5472636815920398
EURUSD,2026,33,0.10993775026030976,166,-0.2581981804308336,101,0.43564356435643564
XAUUSD,2022,25,0.19668896584418089,180,-0.2561503614218975,37,0.4864864864864865
XAUUSD,2023,41,0.0402129751798874,376,0.2382918035641975,147,0.5782312925170068
XAUUSD,2024,57,-0.026641256688937454,338,0.2172007553989567,184,0.5
XAUUSD,2025,82,0.06324698175738877,352,0.4181655951491992,146,0.5753424657534246
XAUUSD,2026,46,0.23723798054565196,190,0.2241817716663216,69,0.4782608695652174
