candidate,alignment,n,accuracy
D1_HTF_BIAS,WITH_BIAS,306,0.5718954248366013
D1_HTF_BIAS,AGAINST_BIAS,0,
D1_HTF_BIAS,NO_BIAS,0,
D2_TREND_PRESSURE,WITH_BIAS,220,0.6045454545454545
D2_TREND_PRESSURE,AGAINST_BIAS,0,
D2_TREND_PRESSURE,NO_BIAS,46,0.45652173913043476
D3_PRE12H_MOMENTUM,WITH_BIAS,162,0.5617283950617284
D3_PRE12H_MOMENTUM,AGAINST_BIAS,109,0.43119266055045874
D3_PRE12H_MOMENTUM,NO_BIAS,98,0.4897959183673469
D4_CONSENSUS_2OF3,WITH_BIAS,239,0.5774058577405857
D4_CONSENSUS_2OF3,AGAINST_BIAS,0,
D4_CONSENSUS_2OF3,NO_BIAS,24,0.4583333333333333
