available_time,close,atr14,bias,resolution,target_dir,touch_time,time_to_touch_min,D1_HTF_BIAS,D2_TREND_PRESSURE,D3_PRE12H_MOMENTUM,D4_CONSENSUS_2OF3
2022-07-20 00:00:00,1711.59,8.28021315384641,BEAR,NO_BREAKOUT,0.0,,,-1,-1,-1,-1
2022-07-20 04:00:00,1712.11,7.895912214285942,BEAR,NO_BREAKOUT,0.0,,,-1,-1,1,-1
2022-07-20 08:00:00,1711.73,7.613347056122665,BEAR,NO_BREAKOUT,0.0,,,-1,-1,1,-1
2022-07-20 12:00:00,1707.95,7.508107980685323,BEAR,NO_BREAKOUT,0.0,,,-1,-1,-1,-1
2022-07-20 16:00:00,1708.82,7.513243124922097,BEAR,BEAR_FIRST,-1.0,2022-07-20 20:54:00,294.0,-1,-1,-1,-1
2022-07-20 20:00:00,1702.93,7.910868615999101,BEAR,BEAR_FIRST,-1.0,2022-07-20 23:00:00,180.0,-1,-1,-1,-1
2022-07-21 00:00:00,1696.21,8.184378000570595,BEAR,NO_BREAKOUT,0.0,,,-1,-1,-1,-1
2022-07-21 04:00:00,1694.69,7.986208143386986,BEAR,BEAR_FIRST,-1.0,2022-07-21 10:13:00,373.0,-1,-1,-1,-1
2022-07-21 08:00:00,1692.53,7.754336133145059,BEAR,BEAR_FIRST,-1.0,2022-07-21 12:00:00,240.0,-1,-1,-1,-1
2022-07-21 12:00:00,1685.06,7.831169266491836,BEAR,BULL_FIRST,1.0,2022-07-21 15:24:00,204.0,-1,-1,-1,-1
2022-07-27 20:00:00,1720.75,8.123124664738118,NEUTRAL,BULL_FIRST,1.0,2022-07-27 21:36:00,96.0,0,0,1,0
2022-08-09 04:00:00,1789.01,8.453721906909015,BULL,NO_BREAKOUT,0.0,,,1,1,1,1
2022-08-10 00:00:00,1793.72,8.083052147137293,BULL,NO_BREAKOUT,0.0,,,1,1,1,1
2022-08-10 04:00:00,1792.75,7.711405565198923,BULL,NO_BREAKOUT,0.0,,,1,1,-1,1
2022-08-10 08:00:00,1790.4,7.499162310541858,BULL,BULL_FIRST,1.0,2022-08-10 15:30:00,450.0,1,1,-1,1
2022-08-10 12:00:00,1792.4,7.355650716931726,BULL,BULL_FIRST,1.0,2022-08-10 15:30:00,210.0,1,1,-1,1
2022-08-12 12:00:00,1787.35,7.948592842427215,BULL,BULL_FIRST,1.0,2022-08-12 16:07:00,247.0,1,0,-1,0
2022-08-12 16:00:00,1793.37,8.046550496539552,BULL,BULL_FIRST,1.0,2022-08-12 20:13:00,253.0,1,1,1,1
2022-08-12 20:00:00,1797.17,8.058225461072444,BULL,NO_BREAKOUT,0.0,,,1,1,1,1
2022-08-13 00:00:00,1801.0,7.844780785281551,BULL,NO_BREAKOUT,0.0,,,1,1,1,1
2022-08-15 04:00:00,1801.19,7.493010729190001,BULL,BEAR_FIRST,-1.0,2022-08-15 07:43:00,223.0,1,1,0,1
2022-08-15 08:00:00,1794.48,7.541367105676435,BULL,BEAR_FIRST,-1.0,2022-08-15 10:50:00,170.0,1,1,0,1
2022-08-15 12:00:00,1783.57,7.922698026699555,BULL,BEAR_FIRST,-1.0,2022-08-15 13:12:00,72.0,1,0,0,0
2022-08-16 04:00:00,1777.7,7.684135733563274,NEUTRAL,NO_BREAKOUT,0.0,,,0,0,-1,0
2022-08-16 16:00:00,1771.74,7.587965089882851,NEUTRAL,NO_BREAKOUT,0.0,,,0,0,-1,0
2022-08-16 20:00:00,1776.23,7.538824726319796,NEUTRAL,NO_BREAKOUT,0.0,,,0,0,-1,0
2022-08-17 00:00:00,1775.08,7.2560515315826635,NEUTRAL,NO_BREAKOUT,0.0,,,0,0,-1,0
2022-08-17 04:00:00,1774.72,6.897762136469617,NEUTRAL,BULL_FIRST,1.0,2022-08-17 08:59:00,299.0,0,0,1,0
