candidate,year,n,accuracy,eligible,positive
D1_HTF_BIAS,2023,100,0.59,True,True
D1_HTF_BIAS,2024,66,0.5303030303030303,True,True
D1_HTF_BIAS,2025,54,0.5740740740740741,True,True
D1_HTF_BIAS,2026,46,0.5652173913043478,True,True
D2_TREND_PRESSURE,2023,91,0.6043956043956044,True,True
D2_TREND_PRESSURE,2024,52,0.4807692307692308,True,False
D2_TREND_PRESSURE,2025,47,0.5319148936170213,True,True
D2_TREND_PRESSURE,2026,46,0.6739130434782609,True,True
D3_PRE12H_MOMENTUM,2023,118,0.5254237288135594,True,True
D3_PRE12H_MOMENTUM,2024,77,0.42857142857142855,True,False
D3_PRE12H_MOMENTUM,2025,70,0.4857142857142857,True,False
D3_PRE12H_MOMENTUM,2026,62,0.5645161290322581,True,True
D4_CONSENSUS_2OF3,2023,85,0.6,True,True
D4_CONSENSUS_2OF3,2024,54,0.46296296296296297,True,False
D4_CONSENSUS_2OF3,2025,47,0.5531914893617021,True,True
D4_CONSENSUS_2OF3,2026,45,0.6222222222222222,True,True
