available_time,close,atr14,bias,D1_HTF_BIAS,D2_TREND_PRESSURE,D14_CONCORDANCE,resolution,target_dir,touch_time,time_to_touch_min,close_ret_atr_24h
2022-07-20 00:00:00,1711.59,8.28021315384641,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-1.8574401062194161
2022-07-20 04:00:00,1712.11,7.895912214285942,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-2.2062048725012584
2022-07-20 08:00:00,1711.73,7.613347056122665,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-2.521886872943665
2022-07-20 12:00:00,1707.95,7.508107980685323,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-3.048704155412367
2022-07-20 16:00:00,1708.82,7.513243124922097,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2022-07-20 20:54:00,294.0,-0.2888233435174967
2022-07-20 20:00:00,1702.93,7.910868615999101,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2022-07-20 23:00:00,180.0,1.111129564485863
2022-07-21 00:00:00,1696.21,8.184378000570595,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,2.8041226832876034
2022-07-21 04:00:00,1694.69,7.986208143386986,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2022-07-21 10:13:00,373.0,2.804835486105916
2022-07-21 08:00:00,1692.53,7.754336133145059,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2022-07-21 12:00:00,240.0,2.6991349924253445
2022-07-21 12:00:00,1685.06,7.831169266491836,BEAR,-1,-1,-1,BULL_FIRST,1.0,2022-07-21 15:24:00,204.0,4.2394690844005725
2022-07-27 20:00:00,1720.75,8.123124664738118,NEUTRAL,0,0,0,BULL_FIRST,1.0,2022-07-27 21:36:00,96.0,4.089559297816219
2022-08-09 04:00:00,1789.01,8.453721906909015,BULL,1,1,1,NO_BREAKOUT,0.0,,,0.4424086859236996
2022-08-10 00:00:00,1793.72,8.083052147137293,BULL,1,1,1,NO_BREAKOUT,0.0,,,-0.22763678453461117
2022-08-10 04:00:00,1792.75,7.711405565198923,BULL,1,1,1,NO_BREAKOUT,0.0,,,-0.2969627236744733
2022-08-10 08:00:00,1790.4,7.499162310541858,BULL,1,1,1,BULL_FIRST,1.0,2022-08-10 15:30:00,450.0,-0.6867433703575851
2022-08-10 12:00:00,1792.4,7.355650716931726,BULL,1,1,1,BULL_FIRST,1.0,2022-08-10 15:30:00,210.0,-0.38473822492493726
2022-08-12 12:00:00,1787.35,7.948592842427215,BULL,1,0,0,BULL_FIRST,1.0,2022-08-12 16:07:00,247.0,
2022-08-12 16:00:00,1793.37,8.046550496539552,BULL,1,1,1,BULL_FIRST,1.0,2022-08-12 20:13:00,253.0,
2022-08-12 20:00:00,1797.17,8.058225461072444,BULL,1,1,1,NO_BREAKOUT,0.0,,,
2022-08-13 00:00:00,1801.0,7.844780785281551,BULL,1,1,1,NO_BREAKOUT,0.0,,,
2022-08-15 04:00:00,1801.19,7.493010729190001,BULL,1,1,1,BEAR_FIRST,-1.0,2022-08-15 07:43:00,223.0,-3.1349214419901537
2022-08-15 08:00:00,1794.48,7.541367105676435,BULL,1,1,1,BEAR_FIRST,-1.0,2022-08-15 10:50:00,170.0,-1.6561983822003183
2022-08-15 12:00:00,1783.57,7.922698026699555,BULL,1,0,0,BEAR_FIRST,-1.0,2022-08-15 13:12:00,72.0,-1.023641185448333
2022-08-16 04:00:00,1777.7,7.684135733563274,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,-0.3878119938698868
2022-08-16 16:00:00,1771.74,7.587965089882851,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,-0.03031115684845212
2022-08-16 20:00:00,1776.23,7.538824726319796,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,-1.8185858535926995
2022-08-17 00:00:00,1775.08,7.2560515315826635,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,-1.74750688371064
2022-08-17 04:00:00,1774.72,6.897762136469617,NEUTRAL,0,0,0,BULL_FIRST,1.0,2022-08-17 08:59:00,299.0,-1.3540623488040828
2022-08-17 08:00:00,1778.61,6.775779126721792,NEUTRAL,0,0,0,BEAR_FIRST,-1.0,2022-08-17 13:28:00,328.0,-2.2654221327055613
2022-08-17 12:00:00,1775.12,7.0275091890988035,NEUTRAL,0,0,0,BEAR_FIRST,-1.0,2022-08-17 14:18:00,138.0,-1.2721434806328982
2022-09-21 08:00:00,1661.99,7.747778514360746,BEAR,-1,-1,-1,BULL_FIRST,1.0,2022-09-21 09:14:00,74.0,-0.20134803764826747
2022-09-21 16:00:00,1674.21,8.106911065953893,BEAR,-1,0,0,BEAR_FIRST,-1.0,2022-09-21 18:05:00,125.0,0.947339860708883
2022-09-21 20:00:00,1665.27,8.24856027552861,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2022-09-21 21:05:00,65.0,1.0559418503421019
