candidate,side,n_resolved,accuracy,ci_lo,ci_hi,quality_capable
HIGH75,BULL,42,0.7619047619047619,0.625,0.8864267676767668,True
HIGH75,BEAR,30,0.5666666666666667,0.46153846153846156,0.68,False
HIGH75_AND_OB,BULL,28,0.8571428571428571,0.7307692307692307,0.9642857142857143,True
HIGH75_AND_OB,BEAR,18,0.6111111111111112,0.5,0.75,False
HIGH75_AND_LIQUIDITY,BULL,24,0.7083333333333334,0.5,0.9,False
HIGH75_AND_LIQUIDITY,BEAR,17,0.5294117647058824,0.35294117647058826,0.75,False
HIGH75_AND_IMBALANCE,BULL,38,0.7368421052631579,0.5675675675675675,0.8780672579453065,True
HIGH75_AND_IMBALANCE,BEAR,27,0.5925925925925926,0.5,0.7222222222222222,False
HIGH75_AND_PRICE_ACTION,BULL,42,0.7619047619047619,0.6190476190476191,0.8888888888888888,True
HIGH75_AND_PRICE_ACTION,BEAR,30,0.5666666666666667,0.4666666666666667,0.6818181818181818,False
COREPAIR_PLUS_AUX,BULL,10,0.9,0.7,1.0,False
COREPAIR_PLUS_AUX,BEAR,5,0.6,0.25,1.0,False
