side,component,pattern,n_present,n_absent,effect,weight
BULL,OB_CONFIRM,001,12,21,-0.23809523809523808,12
BULL,OB_CONFIRM,011,4,18,0.2777777777777778,4
BULL,OB_CONFIRM,101,18,40,0.38333333333333336,18
BULL,OB_CONFIRM,111,6,14,0.261904761904762,6
BULL,IMBALANCE_CONFIRM,001,40,21,-0.12142857142857139,21
BULL,IMBALANCE_CONFIRM,011,14,18,-0.1507936507936508,14
BULL,IMBALANCE_CONFIRM,101,18,12,0.5,12
BULL,IMBALANCE_CONFIRM,111,6,4,-0.16666666666666663,4
BULL,LIQUIDITY_CONFIRM,001,18,21,0.1507936507936508,18
BULL,LIQUIDITY_CONFIRM,011,14,40,0.12142857142857139,14
BULL,LIQUIDITY_CONFIRM,101,4,12,0.6666666666666667,4
BULL,LIQUIDITY_CONFIRM,111,6,18,0.0,6
BULL,PRICE_ACTION_CONFIRM,100,12,4,-0.16666666666666669,4
BEAR,OB_CONFIRM,001,4,9,0.3055555555555556,4
BEAR,OB_CONFIRM,101,13,17,-0.20814479638009042,13
BEAR,IMBALANCE_CONFIRM,001,17,9,0.3790849673202614,9
BEAR,IMBALANCE_CONFIRM,011,12,9,-0.16666666666666663,9
BEAR,IMBALANCE_CONFIRM,101,13,4,-0.13461538461538458,4
BEAR,LIQUIDITY_CONFIRM,001,9,9,0.2222222222222222,9
BEAR,LIQUIDITY_CONFIRM,011,12,17,-0.32352941176470584,12
BEAR,PRICE_ACTION_CONFIRM,100,4,4,0.25,4
