block,n,expectancy_net40,cum_net40_r,variant
2023,22,0.24831703440480657,5.462974756905744,C0_E75_CORE
2024,22,0.111219223926425,2.44682292638135,C0_E75_CORE
2025,38,0.05983300619710025,2.2736542354898095,C0_E75_CORE
2026H1,16,-0.17526316951631504,-2.8042107122610407,C0_E75_CORE
2023,80,-0.17669997139198843,-14.135997711359074,C1_EXPANSION_RAW_24H
2024,139,0.05314244454654913,7.386799791970329,C1_EXPANSION_RAW_24H
2025,195,0.09414105332458093,18.35750539829328,C1_EXPANSION_RAW_24H
2026H1,30,0.07412896605740721,2.2238689817222164,C1_EXPANSION_RAW_24H
2023,60,-0.08409155312031145,-5.045493187218687,X1_EXP_LIVE4H
2024,112,0.1025600103988814,11.486721164674716,X1_EXP_LIVE4H
2025,153,0.06337750696276363,9.696758565302837,X1_EXP_LIVE4H
2026H1,26,0.05051895798522584,1.313492907615872,X1_EXP_LIVE4H
2023,29,-0.23460657399855125,-6.8035906459579865,X2_EXP_FORMING_LIVE4H
2024,61,0.011349542305898602,0.6923220806598147,X2_EXP_FORMING_LIVE4H
2025,77,0.03735847518223887,2.876602589032393,X2_EXP_FORMING_LIVE4H
2026H1,9,0.23514072116223783,2.1162664904601405,X2_EXP_FORMING_LIVE4H
2023,45,0.011283609340132974,0.5077624203059838,X3_EXP_MATURE_LIVE4H
2024,83,0.03395888431349858,2.8185873980203824,X3_EXP_MATURE_LIVE4H
2025,105,0.1140498621983139,11.975235530822959,X3_EXP_MATURE_LIVE4H
2026H1,20,0.05725560461399855,1.145112092279971,X3_EXP_MATURE_LIVE4H
2023,58,0.003197041938220331,0.1854284324167792,X4_EXP_ADX_HIGH_LIVE4H
2024,100,0.15409402075224338,15.409402075224337,X4_EXP_ADX_HIGH_LIVE4H
2025,118,-0.01654564625101675,-1.9523862576199764,X4_EXP_ADX_HIGH_LIVE4H
2026H1,22,0.021560314891556673,0.4743269276142468,X4_EXP_ADX_HIGH_LIVE4H
2023,19,-0.6064219355276902,-11.522016775026113,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
2024,45,0.24305651011643595,10.937542955239618,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
2025,80,0.05838016024962946,4.670412819970357,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
2026H1,12,0.5060321985949842,6.07238638313981,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
2023,60,-0.08409155312031145,-5.045493187218687,X6_EXP_NO_G1_LIVE4H
2024,112,0.1025600103988814,11.486721164674716,X6_EXP_NO_G1_LIVE4H
2025,149,0.061010704605865454,9.090594986273953,X6_EXP_NO_G1_LIVE4H
2026H1,23,0.0828893542622699,1.9064551480322076,X6_EXP_NO_G1_LIVE4H
2023,94,-0.07105658619227634,-6.679319102073976,D0_CORE_PLUS_RAW_EXP24H
2024,156,0.06323149319083123,9.864112937769672,D0_CORE_PLUS_RAW_EXP24H
2025,223,0.07329896853925515,16.3456699842539,D0_CORE_PLUS_RAW_EXP24H
2026H1,45,-0.045527537534164136,-2.048739189037386,D0_CORE_PLUS_RAW_EXP24H
2023,74,0.03258358678468123,2.411185422066411,D1_CORE_PLUS_EXP_LIVE4H
2024,129,0.10824832798817102,13.964034310474062,D1_CORE_PLUS_EXP_LIVE4H
2025,184,0.03831624282382403,7.050188679583622,D1_CORE_PLUS_EXP_LIVE4H
2026H1,42,-0.035493281062980234,-1.4907178046451697,D1_CORE_PLUS_EXP_LIVE4H
2023,44,-0.013563627066590655,-0.5967995909299888,D2_CORE_PLUS_EXP_FORMING_LIVE4H
2024,78,0.04063634905716878,3.1696352264591647,D2_CORE_PLUS_EXP_FORMING_LIVE4H
2025,109,0.015503632151441555,1.6898959045071296,D2_CORE_PLUS_EXP_FORMING_LIVE4H
2026H1,25,-0.027517768872036042,-0.6879442218009011,D2_CORE_PLUS_EXP_FORMING_LIVE4H
2023,63,0.05409703587981707,3.4081132604284754,D3_CORE_PLUS_EXP_MATURE_LIVE4H
2024,100,0.027653602256344046,2.7653602256344048,D3_CORE_PLUS_EXP_MATURE_LIVE4H
2025,137,0.0862240015825153,11.812688216804595,D3_CORE_PLUS_EXP_MATURE_LIVE4H
2026H1,36,-0.046086072777251935,-1.6590986199810696,D3_CORE_PLUS_EXP_MATURE_LIVE4H
2023,72,0.10614037557919273,7.642107041701877,D4_CORE_PLUS_EXP_ADX_HIGH_LIVE4H
2024,118,0.07660860349821572,9.039815212789454,D4_CORE_PLUS_EXP_ADX_HIGH_LIVE4H
2025,152,-0.018815240476521,-2.859916552431192,D4_CORE_PLUS_EXP_ADX_HIGH_LIVE4H
2026H1,38,-0.06131273117491564,-2.3298837846467944,D4_CORE_PLUS_EXP_ADX_HIGH_LIVE4H
2023,37,-0.10555488321862687,-3.9055306790891944,D5_CORE_PLUS_EXP_BREAKOUT_ACCEPT_LIVE4H
2024,63,0.19485125139034845,12.275628837591952,D5_CORE_PLUS_EXP_BREAKOUT_ACCEPT_LIVE4H
2025,112,0.030803883590398522,3.4500349621246347,D5_CORE_PLUS_EXP_BREAKOUT_ACCEPT_LIVE4H
2026H1,28,0.1167205596742417,3.268175670878768,D5_CORE_PLUS_EXP_BREAKOUT_ACCEPT_LIVE4H
2023,74,0.03258358678468123,2.411185422066411,D6_CORE_PLUS_EXP_NO_G1_LIVE4H
2024,129,0.10824832798817102,13.964034310474062,D6_CORE_PLUS_EXP_NO_G1_LIVE4H
2025,183,0.0449001959824219,8.216735864783207,D6_CORE_PLUS_EXP_NO_G1_LIVE4H
2026H1,39,-0.023019373441764975,-0.897755564228834,D6_CORE_PLUS_EXP_NO_G1_LIVE4H
