component,year,n_present,n_absent,accuracy_present,accuracy_absent
OB_CONFIRM,2023,31,95,0.6818181818181818,0.6037735849056604
OB_CONFIRM,2024,22,47,0.5,0.5172413793103449
OB_CONFIRM,2025,11,57,0.625,0.5925925925925926
OB_CONFIRM,2026,30,49,0.6470588235294118,0.6363636363636364
IMBALANCE_CONFIRM,2023,58,68,0.5882352941176471,0.6585365853658537
IMBALANCE_CONFIRM,2024,35,34,0.5652173913043478,0.45
IMBALANCE_CONFIRM,2025,46,22,0.68,0.4
IMBALANCE_CONFIRM,2026,48,31,0.6818181818181818,0.5882352941176471
LIQUIDITY_CONFIRM,2023,43,83,0.6296296296296297,0.625
LIQUIDITY_CONFIRM,2024,15,54,0.625,0.4857142857142857
LIQUIDITY_CONFIRM,2025,25,43,0.6153846153846154,0.5909090909090909
LIQUIDITY_CONFIRM,2026,24,55,0.6153846153846154,0.6538461538461539
PRICE_ACTION_CONFIRM,2023,115,11,0.6231884057971014,0.6666666666666666
PRICE_ACTION_CONFIRM,2024,63,6,0.55,0.0
PRICE_ACTION_CONFIRM,2025,62,6,0.6176470588235294,0.0
PRICE_ACTION_CONFIRM,2026,71,8,0.625,0.7142857142857143
