state,horizon_h,metric,age_bucket,n,mean,median
EXPANSION,4,range_atr_4h,ONSET,190,0.9789045085712442,0.8343881963344744
EXPANSION,4,range_atr_4h,EARLY,340,0.9696789666231539,0.8554428666005001
EXPANSION,4,range_atr_4h,MATURE,883,1.0874522423312991,0.921474666511953
EXPANSION,8,range_atr_8h,ONSET,182,1.400365231392729,1.237864686260727
EXPANSION,8,range_atr_8h,EARLY,328,1.5149839625285875,1.301830606532679
EXPANSION,8,range_atr_8h,MATURE,854,1.5806814367543363,1.3998786125383018
EXPANSION,12,range_atr_12h,ONSET,175,1.738347639817576,1.5458030419001214
EXPANSION,12,range_atr_12h,EARLY,320,1.9672644298348765,1.7344881615999137
EXPANSION,12,range_atr_12h,MATURE,825,1.9362778478925222,1.6923917557141046
EXPANSION,24,range_atr_24h,ONSET,162,2.6680377640325363,2.40761447501862
EXPANSION,24,range_atr_24h,EARLY,287,2.6053677530242645,2.34171185051786
EXPANSION,24,range_atr_24h,MATURE,738,2.8473171874222927,2.5843706129691375
EXPANSION,48,range_atr_48h,ONSET,130,3.7604235270487743,3.699735293503933
EXPANSION,48,range_atr_48h,EARLY,227,3.7682616964648914,3.599035414926563
EXPANSION,48,range_atr_48h,MATURE,522,4.0964068371257305,3.8369184672616483
PULLBACK,4,bias_follow_4h,ONSET,205,0.5463414634146342,1.0
PULLBACK,4,bias_follow_4h,EARLY,390,0.48205128205128206,0.0
PULLBACK,4,bias_follow_4h,MATURE,2052,0.5384990253411306,1.0
PULLBACK,8,bias_follow_8h,ONSET,204,0.5294117647058824,1.0
PULLBACK,8,bias_follow_8h,EARLY,379,0.5065963060686016,1.0
PULLBACK,8,bias_follow_8h,MATURE,1967,0.5612608032536858,1.0
PULLBACK,12,bias_follow_12h,ONSET,201,0.4975124378109453,0.0
PULLBACK,12,bias_follow_12h,EARLY,367,0.5040871934604905,1.0
PULLBACK,12,bias_follow_12h,MATURE,1878,0.5692225772097976,1.0
PULLBACK,24,bias_follow_24h,ONSET,181,0.4696132596685083,0.0
PULLBACK,24,bias_follow_24h,EARLY,338,0.5295857988165681,1.0
PULLBACK,24,bias_follow_24h,MATURE,1619,0.5849289684990735,1.0
PULLBACK,48,bias_follow_48h,ONSET,150,0.5733333333333334,1.0
PULLBACK,48,bias_follow_48h,EARLY,277,0.592057761732852,1.0
PULLBACK,48,bias_follow_48h,MATURE,1092,0.6153846153846154,1.0
REVERSAL,4,momentum_flip_4h,ONSET,6,0.5,0.5
REVERSAL,4,momentum_flip_4h,EARLY,16,0.375,0.0
REVERSAL,4,momentum_flip_4h,MATURE,10,0.3,0.0
REVERSAL,8,momentum_flip_8h,ONSET,6,0.6666666666666666,1.0
REVERSAL,8,momentum_flip_8h,EARLY,15,0.4,0.0
REVERSAL,8,momentum_flip_8h,MATURE,10,0.4,0.0
REVERSAL,12,momentum_flip_12h,ONSET,6,0.6666666666666666,1.0
REVERSAL,12,momentum_flip_12h,EARLY,14,0.5,0.5
REVERSAL,12,momentum_flip_12h,MATURE,10,0.4,0.0
REVERSAL,24,momentum_flip_24h,ONSET,5,0.8,1.0
REVERSAL,24,momentum_flip_24h,EARLY,14,0.42857142857142855,0.0
REVERSAL,24,momentum_flip_24h,MATURE,10,0.4,0.0
REVERSAL,48,momentum_flip_48h,ONSET,3,0.3333333333333333,0.0
REVERSAL,48,momentum_flip_48h,EARLY,10,0.4,0.0
REVERSAL,48,momentum_flip_48h,MATURE,7,0.42857142857142855,0.0
RANGE,4,contained_1atr_4h,ONSET,79,0.8354430379746836,1.0
RANGE,4,contained_1atr_4h,EARLY,150,0.7733333333333333,1.0
RANGE,4,contained_1atr_4h,MATURE,431,0.777262180974478,1.0
RANGE,8,contained_1atr_8h,ONSET,78,0.6153846153846154,1.0
RANGE,8,contained_1atr_8h,EARLY,147,0.5714285714285714,1.0
RANGE,8,contained_1atr_8h,MATURE,416,0.5649038461538461,1.0
RANGE,12,contained_1atr_12h,ONSET,77,0.4155844155844156,0.0
RANGE,12,contained_1atr_12h,EARLY,142,0.4014084507042254,0.0
RANGE,12,contained_1atr_12h,MATURE,404,0.3589108910891089,0.0
RANGE,24,contained_1atr_24h,ONSET,71,0.1267605633802817,0.0
RANGE,24,contained_1atr_24h,EARLY,131,0.08396946564885496,0.0
RANGE,24,contained_1atr_24h,MATURE,356,0.10393258426966293,0.0
RANGE,48,contained_1atr_48h,ONSET,60,0.016666666666666666,0.0
RANGE,48,contained_1atr_48h,EARLY,110,0.00909090909090909,0.0
RANGE,48,contained_1atr_48h,MATURE,261,0.007662835249042145,0.0
