state,horizon_h,episodes,range_atr_n,range_atr_mean,range_atr_median,abs_close_atr_n,abs_close_atr_mean,abs_close_atr_median,contained_1atr_n,contained_1atr_mean,contained_1atr_median,two_sided_1atr_n,two_sided_1atr_mean,two_sided_1atr_median,momentum_flip_n,momentum_flip_mean,momentum_flip_median,bias_follow_n,bias_follow_mean,bias_follow_median,bias_signed_close_atr_n,bias_signed_close_atr_mean,bias_signed_close_atr_median
EXPANSION,4,201,190,0.9789045085712442,0.8343881963344744,190,0.4625055484378467,0.2767857234236417,190,0.7578947368421053,1.0,190,0.005263157894736842,0.0,126,0.49206349206349204,0.0,116,0.5862068965517241,1.0,116,0.07807344798054387,0.07308147182991909
EXPANSION,8,201,182,1.400365231392729,1.237864686260727,182,0.6826154424293194,0.57762799516087,182,0.5164835164835165,1.0,182,0.01098901098901099,0.0,118,0.4576271186440678,0.0,113,0.6017699115044248,1.0,113,0.16982576597339938,0.18636302254518394
EXPANSION,12,201,175,1.738347639817576,1.5458030419001214,175,0.849077240175424,0.7209709082411244,175,0.35428571428571426,0.0,175,0.02857142857142857,0.0,111,0.4954954954954955,0.0,108,0.5555555555555556,1.0,108,0.08852618648449219,0.1758395646978959
EXPANSION,24,201,162,2.6680377640325363,2.40761447501862,162,1.2720644669613577,0.911792996693922,162,0.12962962962962962,0.0,162,0.09259259259259259,0.0,99,0.5353535353535354,1.0,99,0.5353535353535354,1.0,99,0.23080381814027973,0.19792244923931052
EXPANSION,48,201,130,3.7604235270487743,3.699735293503933,130,1.803622840121181,1.4589596824248545,130,0.03076923076923077,0.0,130,0.3153846153846154,0.0,67,0.5522388059701493,1.0,79,0.5316455696202531,1.0,79,0.4538533937047493,0.1350671322447018
PULLBACK,4,318,314,0.9310059941186438,0.822687585389491,314,0.4515868115033508,0.3621052471392172,314,0.7770700636942676,1.0,314,0.0031847133757961785,0.0,169,0.5443786982248521,1.0,205,0.5463414634146342,1.0,205,0.009171855331437297,0.03867793940056211
PULLBACK,8,318,311,1.3976164543328706,1.2514793396335113,311,0.7246421987142329,0.5718614397909824,311,0.5305466237942122,1.0,311,0.012861736334405145,0.0,166,0.5783132530120482,1.0,204,0.5294117647058824,1.0,204,0.0388297463149541,0.05811672835865783
PULLBACK,12,318,305,1.78968233221484,1.553024230070726,305,0.9107743364897847,0.6562771304197531,305,0.3737704918032787,0.0,305,0.029508196721311476,0.0,160,0.5,0.5,201,0.4975124378109453,0.0,201,0.010368565220395995,-0.001412665528905503
PULLBACK,24,318,277,2.533395018510855,2.3185876192028805,277,1.2362278072682094,0.9647863774680956,277,0.1407942238267148,0.0,277,0.12274368231046931,0.0,134,0.5746268656716418,1.0,181,0.4696132596685083,0.0,181,0.09021974215620568,-0.0734077933644703
PULLBACK,48,318,233,3.6372143527354757,3.3453966379210796,233,1.8505205762212578,1.4707224576057478,233,0.008583690987124463,0.0,233,0.2703862660944206,0.0,94,0.5319148936170213,1.0,150,0.5733333333333334,1.0,150,0.5591524129947498,0.46168581236774386
REVERSAL,4,10,10,1.0031589418873263,1.073990353734706,10,0.39006699494197733,0.3923694199106257,10,0.8,1.0,10,0.0,0.0,6,0.5,0.5,0,,,0,,
REVERSAL,8,10,10,1.4592600443424115,1.5258899488455353,10,0.5695976314974363,0.40120418310876105,10,0.5,0.5,10,0.0,0.0,6,0.6666666666666666,1.0,0,,,0,,
REVERSAL,12,10,10,1.731352305878692,1.7871557164460479,10,0.8798769866255742,0.9033526674831679,10,0.2,0.0,10,0.0,0.0,6,0.6666666666666666,1.0,0,,,0,,
REVERSAL,24,10,9,1.9602781517271453,1.9893112482343924,9,0.8483344282234102,0.8679254336245997,9,0.1111111111111111,0.0,9,0.1111111111111111,0.0,5,0.8,1.0,0,,,0,,
REVERSAL,48,10,7,3.956712216760446,3.1719068581970626,7,2.272401831376804,1.3789323730865293,7,0.0,0.0,7,0.2857142857142857,0.0,3,0.3333333333333333,0.0,0,,,0,,
RANGE,4,81,79,0.9534880855230567,0.8082415462288364,79,0.4475110166458542,0.30320858760827574,79,0.8354430379746836,1.0,79,0.012658227848101266,0.0,54,0.7037037037037037,1.0,6,0.5,0.5,6,-0.014269848944608726,-0.11402343810539207
RANGE,8,81,78,1.3615428126776716,1.2681582352448713,78,0.5848197620690959,0.4186569159328222,78,0.6153846153846154,1.0,78,0.01282051282051282,0.0,53,0.5849056603773585,1.0,6,0.3333333333333333,0.0,6,0.07090991348932028,-0.0632483916051033
RANGE,12,81,77,1.6559395284832943,1.5553742829442099,77,0.7734091916468135,0.5962559374547645,77,0.4155844155844156,0.0,77,0.03896103896103896,0.0,52,0.5384615384615384,1.0,6,0.3333333333333333,0.0,6,-0.3671109732720818,-0.41557214879669857
RANGE,24,81,71,2.463136504699519,2.226633879520905,71,1.1323542613317115,1.0311870015813882,71,0.1267605633802817,0.0,71,0.1267605633802817,0.0,46,0.5217391304347826,1.0,6,0.3333333333333333,0.0,6,-0.30256778142331675,-0.8553365437074261
RANGE,48,81,60,3.806046646096178,3.6861969768684206,60,1.9792590720094418,1.7540264974552318,60,0.016666666666666666,0.0,60,0.38333333333333336,0.0,36,0.3611111111111111,0.0,6,0.16666666666666666,0.0,6,-1.8213369803945474,-2.221861785908448
