display_role,horizon_h,n_rows,range_atr_n,range_atr_mean,range_atr_median,abs_close_atr_n,abs_close_atr_mean,abs_close_atr_median,contained_1atr_n,contained_1atr_mean,contained_1atr_median,two_sided_1atr_n,two_sided_1atr_mean,two_sided_1atr_median,momentum_flip_n,momentum_flip_mean,momentum_flip_median,bias_follow_n,bias_follow_mean,bias_follow_median,bias_signed_close_atr_n,bias_signed_close_atr_mean,bias_signed_close_atr_median
EXPANSION_FORMING,4,556,530,0.9729862363781298,0.8475899248568838,530,0.4692479939600207,0.32650916982444145,530,0.7905660377358491,1.0,530,0.0018867924528301887,0.0,368,0.48641304347826086,0.0,338,0.5355029585798816,1.0,338,0.016734000073825497,0.038656664976620805
EXPANSION_FORMING,8,556,510,1.474080807495791,1.2772924201266513,510,0.7396096744331729,0.5706832840210858,510,0.5176470588235295,1.0,510,0.013725490196078431,0.0,348,0.47701149425287354,0.0,327,0.5198776758409785,1.0,327,0.020383624349094357,0.03286678825809972
EXPANSION_FORMING,12,556,495,1.886334251545932,1.6283441002178267,495,0.9547177523491115,0.7265871952803645,495,0.31717171717171716,0.0,495,0.030303030303030304,0.0,333,0.4984984984984985,0.0,317,0.5141955835962145,1.0,317,0.010274173484986745,0.0658502926822529
EXPANSION_FORMING,24,556,449,2.6279792046575383,2.360080095439058,449,1.243972996147668,0.8531027535407959,449,0.111358574610245,0.0,449,0.0957683741648107,0.0,289,0.5294117647058824,1.0,285,0.5403508771929825,1.0,285,0.09881077892024981,0.1086468609767643
EXPANSION_FORMING,48,556,357,3.76540746110328,3.6471324605988737,357,1.8542030855760334,1.5431543123697353,357,0.025210084033613446,0.0,357,0.3277310924369748,0.0,197,0.5431472081218274,1.0,233,0.5064377682403434,1.0,233,0.31959191980918206,0.06434715965433348
EXPANSION_MATURE,4,914,883,1.0874522423312991,0.921474666511953,883,0.531596164953365,0.36581627781113246,883,0.7055492638731596,1.0,883,0.0056625141562853904,0.0,883,0.5005662514156285,1.0,705,0.5446808510638298,1.0,705,0.04024149149456527,0.04688067800486787
EXPANSION_MATURE,8,914,854,1.5806814367543363,1.3998786125383018,854,0.7802122076896535,0.5677998866797445,854,0.45433255269320844,0.0,854,0.02224824355971897,0.0,854,0.5362997658079626,1.0,682,0.5219941348973607,1.0,682,0.06594884123295823,0.050573132585312215
EXPANSION_MATURE,12,914,825,1.9362778478925222,1.6923917557141046,825,0.9395313342050277,0.7022342098850138,825,0.3151515151515151,0.0,825,0.04242424242424243,0.0,825,0.5248484848484849,1.0,660,0.5287878787878788,1.0,660,0.08296455143980998,0.06474418819514252
EXPANSION_MATURE,24,914,738,2.8473171874222927,2.5843706129691375,738,1.4278094438096514,1.1352234484137802,738,0.08130081300813008,0.0,738,0.15311653116531165,0.0,738,0.5040650406504065,1.0,593,0.5109612141652614,1.0,593,0.12389577585380304,0.0359564735436965
EXPANSION_MATURE,48,914,522,4.0964068371257305,3.8369184672616483,522,2.0522446438290043,1.644387638760103,522,0.0038314176245210726,0.0,522,0.35823754789272033,0.0,522,0.47509578544061304,0.0,421,0.5391923990498813,1.0,421,0.4112624092351758,0.2223310637221228
PULLBACK_FORMING,4,931,918,0.9965725292143681,0.8715316330411513,918,0.5127468848912013,0.37848406901615794,918,0.761437908496732,1.0,918,0.002178649237472767,0.0,512,0.544921875,1.0,595,0.5042016806722689,1.0,595,0.001521268142412681,0.0028324979189387465
PULLBACK_FORMING,8,931,898,1.5160646620406635,1.3266849911222822,898,0.77175593390305,0.5611405049604076,898,0.4955456570155902,0.0,898,0.017817371937639197,0.0,492,0.5467479674796748,1.0,583,0.5145797598627787,1.0,583,-0.005078463938145606,0.03452660487397647
PULLBACK_FORMING,12,931,874,1.8891223748195545,1.6353997975995254,874,0.9473789732303599,0.6933443393148553,874,0.33981693363844395,0.0,874,0.04462242562929062,0.0,468,0.5106837606837606,1.0,568,0.5017605633802817,1.0,568,-0.01190417539030922,0.002418859124893322
PULLBACK_FORMING,24,931,795,2.5238104341438095,2.2629526131612945,795,1.228453091383649,0.9207691346614676,795,0.12452830188679245,0.0,795,0.12327044025157233,0.0,393,0.5597964376590331,1.0,519,0.5086705202312138,1.0,519,0.08633749317308571,0.015868556867704744
PULLBACK_FORMING,48,931,674,3.663107186009157,3.334884666170583,674,1.8914252693287277,1.5497874690500733,674,0.013353115727002967,0.0,674,0.271513353115727,0.0,283,0.5512367491166078,1.0,427,0.585480093676815,1.0,427,0.4598428724009101,0.4460874545286358
PULLBACK_MATURE,4,3094,2971,1.0148773752097868,0.8426135293896324,2971,0.4975213530188259,0.34619037394710955,2971,0.7404914170313026,1.0,2971,0.007404914170313026,0.0,2971,0.49915853248064623,0.0,2052,0.5384990253411306,1.0,2052,0.05386066607187086,0.04063292406033832
PULLBACK_MATURE,8,3094,2846,1.4853194939824155,1.3078888102851987,2846,0.735246769096766,0.5395138163758335,2846,0.5063246661981728,1.0,2846,0.027406886858749122,0.0,2846,0.5077301475755446,1.0,1967,0.5612608032536858,1.0,1967,0.11137946144344835,0.11894057989261074
PULLBACK_MATURE,12,3094,2719,1.8379507878043448,1.6376927608253717,2719,0.9017900123873165,0.6768522506221971,2719,0.3464509010665686,0.0,2719,0.049650606840750275,0.0,2719,0.4961382861346083,0.0,1878,0.5692225772097976,1.0,1878,0.17952363977398345,0.1645092993666257
PULLBACK_MATURE,24,3094,2355,2.671828556481355,2.4731980346290876,2355,1.344220666328507,1.1113589578282692,2355,0.081104033970276,0.0,2355,0.14479830148619957,0.0,2355,0.4989384288747346,0.0,1619,0.5849289684990735,1.0,1619,0.37019732834238844,0.3569078888622219
PULLBACK_MATURE,48,3094,1648,3.8708178367865056,3.535179677045754,1648,1.9488292516192223,1.6219564824695833,1648,0.007281553398058253,0.0,1648,0.3161407766990291,0.0,1648,0.4811893203883495,0.0,1092,0.6153846153846154,1.0,1092,0.6016614367730179,0.63383124603332
RANGE_SHORT,4,159,156,0.9254346939160026,0.8083136625589658,156,0.42738890645417743,0.354489046087696,156,0.7948717948717948,1.0,156,0.00641025641025641,0.0,110,0.6363636363636364,1.0,19,0.47368421052631576,0.0,19,0.032363752930402785,-0.06676116132426081
RANGE_SHORT,8,159,154,1.3360954775898948,1.2571859292033762,154,0.6188484163698444,0.4251376339297952,154,0.5909090909090909,1.0,154,0.012987012987012988,0.0,108,0.5740740740740741,1.0,19,0.2631578947368421,0.0,19,-0.12671661525329433,-0.24305451078017457
RANGE_SHORT,12,159,151,1.6787311873514967,1.5553742829442099,151,0.8174009040885513,0.6062567029315205,151,0.39072847682119205,0.0,151,0.046357615894039736,0.0,105,0.5047619047619047,1.0,19,0.47368421052631576,0.0,19,0.0060119293161818325,-0.03800750647202786
RANGE_SHORT,24,159,139,2.435122143382128,2.224837049295002,139,1.1056176688833466,0.8789709961342567,139,0.10071942446043165,0.0,139,0.1223021582733813,0.0,93,0.45161290322580644,0.0,19,0.5263157894736842,1.0,19,-0.15401081757243099,0.036178695930396416
RANGE_SHORT,48,159,119,3.8419525550692257,3.730478842278158,119,2.0768056227273965,1.8137212546806896,119,0.008403361344537815,0.0,119,0.3697478991596639,0.0,74,0.40540540540540543,0.0,18,0.3888888888888889,0.0,18,-0.8006684837123971,-1.339232642003604
RANGE_STALE,4,522,504,0.9603878827498099,0.830728690558274,504,0.47295256884046266,0.32445499340534817,504,0.7797619047619048,1.0,504,0.003968253968253968,0.0,487,0.5195071868583162,1.0,100,0.47,0.0,100,0.006019927093691851,-0.059714247398678706
RANGE_STALE,8,522,487,1.4233937804737054,1.233784043452071,487,0.7134384004796216,0.47459441955779286,487,0.5667351129363449,1.0,487,0.018480492813141684,0.0,470,0.5361702127659574,1.0,97,0.5257731958762887,1.0,97,-0.0029539689881499884,0.03199973900345514
RANGE_STALE,12,522,472,1.7869997709164345,1.5629388566934657,472,0.9114354620731272,0.6607859839239507,472,0.3707627118644068,0.0,472,0.036016949152542374,0.0,455,0.5186813186813187,1.0,95,0.5157894736842106,1.0,95,0.06301237707261284,0.04585219773679772
RANGE_STALE,24,522,419,2.6173353009725466,2.3806933626259066,419,1.329303793590186,1.0788715841925471,419,0.1026252983293556,0.0,419,0.13126491646778043,0.0,402,0.4975124378109453,0.0,79,0.620253164556962,1.0,79,0.2996392985265132,0.3847751807175051
RANGE_STALE,48,522,312,3.544472720039935,3.3587670968942818,312,1.7524760760083427,1.3698773017994668,312,0.009615384615384616,0.0,312,0.2532051282051282,0.0,295,0.5084745762711864,1.0,59,0.5254237288135594,1.0,59,0.5179972559445806,0.14622141505089373
REVERSAL_AFTERGLOW,4,30,30,0.9981152516585589,0.8509540049716575,30,0.5066280574533243,0.27921373617701156,30,0.8,1.0,30,0.0,0.0,26,0.34615384615384615,0.0,0,,,0,,
REVERSAL_AFTERGLOW,8,30,29,1.4652222771222376,1.1465980531146582,29,0.7962653150120613,0.4669450282661781,29,0.6551724137931034,1.0,29,0.0,0.0,25,0.4,0.0,0,,,0,,
REVERSAL_AFTERGLOW,12,30,28,1.8315627319710885,1.2829687165904264,28,1.0387307793639884,0.450502677348979,28,0.5357142857142857,1.0,28,0.0,0.0,24,0.4583333333333333,0.0,0,,,0,,
REVERSAL_AFTERGLOW,24,30,28,3.1328739466136257,1.9063769592100792,28,2.01126573167541,0.7758876999957358,28,0.21428571428571427,0.0,28,0.07142857142857142,0.0,24,0.4166666666666667,0.0,0,,,0,,
REVERSAL_AFTERGLOW,48,30,21,5.295807342155174,6.335665294088632,21,3.4924648109523537,5.167133218530395,21,0.0,0.0,21,0.3333333333333333,0.0,17,0.4117647058823529,0.0,0,,,0,,
REVERSAL_EVENT,4,10,10,1.0031589418873263,1.073990353734706,10,0.39006699494197733,0.3923694199106257,10,0.8,1.0,10,0.0,0.0,6,0.5,0.5,0,,,0,,
REVERSAL_EVENT,8,10,10,1.4592600443424115,1.5258899488455353,10,0.5695976314974363,0.40120418310876105,10,0.5,0.5,10,0.0,0.0,6,0.6666666666666666,1.0,0,,,0,,
REVERSAL_EVENT,12,10,10,1.731352305878692,1.7871557164460479,10,0.8798769866255742,0.9033526674831679,10,0.2,0.0,10,0.0,0.0,6,0.6666666666666666,1.0,0,,,0,,
