horizon_h,name,kind,metric,a,b,observed,ci_lo,ci_hi,p_positive,n_a,n_b,weeks,eligible,null
4,REVERSAL_EVENT_VS_AFTERGLOW,PAIR,momentum_flip_4h,REVERSAL_EVENT,REVERSAL_AFTERGLOW,0.15384615384615385,-0.18115942028985507,0.5826449275362321,0.7939587917583517,6,26,9,False,
4,REVERSAL_EVENT_VS_EXPANSION_FORMING,PAIR,momentum_flip_4h,REVERSAL_EVENT,EXPANSION_FORMING,0.013586956521739135,-0.47188088512241055,0.5029287065703475,0.5344689378757514,6,368,112,False,
4,RANGE_SHORT_VS_STALE,PAIR,contained_1atr_4h,RANGE_SHORT,RANGE_STALE,0.015109890109890056,-0.06208438260266098,0.08445073613034268,0.6504,156,504,71,True,
4,RANGE_SHORT_VS_EXPANSION_FORMING,PAIR,contained_1atr_4h,RANGE_SHORT,EXPANSION_FORMING,0.00430575713594572,-0.0735439339617816,0.0798649086779849,0.5542,156,530,177,True,
4,PULLBACK_MATURE_VS_FORMING,PAIR,bias_follow_4h,PULLBACK_MATURE,PULLBACK_FORMING,0.034297344668861696,-0.012539986932413077,0.08364707889921787,0.9226,2052,595,178,True,
4,PULLBACK_MATURE_VS_050,ONE,bias_follow_4h,PULLBACK_MATURE,0.50,0.03849902534113059,0.01527622961690521,0.05989251392276109,0.9996,2052,0,169,True,0.5
4,EXPANSION_MATURE_VS_FORMING,PAIR,range_atr_4h,EXPANSION_MATURE,EXPANSION_FORMING,0.11446600595316936,0.0416452156385829,0.18660022170987672,0.999,883,530,149,True,
4,EXPANSION_MATURE_VS_RANGE_SHORT,PAIR,range_atr_4h,EXPANSION_MATURE,RANGE_SHORT,0.16201754841529648,0.06971127492607525,0.2484045033744787,0.9994,883,156,162,True,
8,REVERSAL_EVENT_VS_AFTERGLOW,PAIR,momentum_flip_8h,REVERSAL_EVENT,REVERSAL_AFTERGLOW,0.2666666666666666,0.0,0.625,0.9707941588317663,6,25,9,False,
8,REVERSAL_EVENT_VS_EXPANSION_FORMING,PAIR,momentum_flip_8h,REVERSAL_EVENT,EXPANSION_FORMING,0.1896551724137931,-0.2569519704433498,0.5438185721100334,0.8323317307692307,6,348,108,False,
8,RANGE_SHORT_VS_STALE,PAIR,contained_1atr_8h,RANGE_SHORT,RANGE_STALE,0.024173977972746008,-0.08144646807481519,0.12601793699450542,0.6746,154,487,71,True,
8,RANGE_SHORT_VS_EXPANSION_FORMING,PAIR,contained_1atr_8h,RANGE_SHORT,EXPANSION_FORMING,0.07326203208556148,-0.026281603811264584,0.17330249378031332,0.9232,154,510,175,True,
8,PULLBACK_MATURE_VS_FORMING,PAIR,bias_follow_8h,PULLBACK_MATURE,PULLBACK_FORMING,0.04668104339090706,-0.006566574377455492,0.10090144433641118,0.955,1967,583,177,True,
8,PULLBACK_MATURE_VS_050,ONE,bias_follow_8h,PULLBACK_MATURE,0.50,0.06126080325368577,0.034696448188637145,0.08735521235521237,1.0,1967,0,166,True,0.5
8,EXPANSION_MATURE_VS_FORMING,PAIR,range_atr_8h,EXPANSION_MATURE,EXPANSION_FORMING,0.1066006292585453,-0.012318184426263834,0.23138257311410038,0.9612,854,510,146,True,
