hypothesis,year,metric,role_a,role_b,n_a,n_b,effect,eligible_year,positive
H1_REVERSAL_ONSET_EVENT,2023,momentum_flip_24h,REVERSAL_EVENT,REVERSAL_AFTERGLOW,2,15,0.6,False,False
H1_REVERSAL_ONSET_EVENT,2024,momentum_flip_24h,REVERSAL_EVENT,REVERSAL_AFTERGLOW,2,5,0.3,False,False
H1_REVERSAL_ONSET_EVENT,2025,momentum_flip_24h,REVERSAL_EVENT,REVERSAL_AFTERGLOW,0,0,,False,False
H1_REVERSAL_ONSET_EVENT,2026,momentum_flip_24h,REVERSAL_EVENT,REVERSAL_AFTERGLOW,0,0,,False,False
H2_RANGE_SHORT_CONTAINMENT,2023,contained_1atr_8h,RANGE_SHORT,RANGE_STALE,30,64,-0.0625,True,False
H2_RANGE_SHORT_CONTAINMENT,2024,contained_1atr_8h,RANGE_SHORT,RANGE_STALE,52,205,0.20393996247654778,True,True
H2_RANGE_SHORT_CONTAINMENT,2025,contained_1atr_8h,RANGE_SHORT,RANGE_STALE,39,114,-0.21187584345479077,True,False
H2_RANGE_SHORT_CONTAINMENT,2026,contained_1atr_8h,RANGE_SHORT,RANGE_STALE,23,86,0.0561172901921132,True,True
H3_PULLBACK_MATURITY_CONTINUATION,2023,bias_follow_24h,PULLBACK_MATURE,PULLBACK_FORMING,490,119,0.08511404561824731,True,True
H3_PULLBACK_MATURITY_CONTINUATION,2024,bias_follow_24h,PULLBACK_MATURE,PULLBACK_FORMING,292,133,0.15436708208878364,True,True
H3_PULLBACK_MATURITY_CONTINUATION,2025,bias_follow_24h,PULLBACK_MATURE,PULLBACK_FORMING,358,140,0.07166799680766167,True,True
H3_PULLBACK_MATURITY_CONTINUATION,2026,bias_follow_24h,PULLBACK_MATURE,PULLBACK_FORMING,229,65,-0.15935505542492445,True,False
H4_EXPANSION_MATURITY_MOVEMENT,2023,range_atr_24h,EXPANSION_MATURE,EXPANSION_FORMING,159,99,0.23437313334496856,True,True
H4_EXPANSION_MATURITY_MOVEMENT,2024,range_atr_24h,EXPANSION_MATURE,EXPANSION_FORMING,192,118,0.27937840756112964,True,True
H4_EXPANSION_MATURITY_MOVEMENT,2025,range_atr_24h,EXPANSION_MATURE,EXPANSION_FORMING,231,131,0.09274478907595363,True,True
H4_EXPANSION_MATURITY_MOVEMENT,2026,range_atr_24h,EXPANSION_MATURE,EXPANSION_FORMING,100,57,0.4056999171835387,True,True
H5_PULLBACK_MATURE_ABSOLUTE_BIAS,2023,bias_follow_24h,PULLBACK_MATURE,0.50,490,0,0.10612244897959189,True,True
H5_PULLBACK_MATURE_ABSOLUTE_BIAS,2024,bias_follow_24h,PULLBACK_MATURE,0.50,292,0,0.113013698630137,True,True
H5_PULLBACK_MATURE_ABSOLUTE_BIAS,2025,bias_follow_24h,PULLBACK_MATURE,0.50,358,0,0.11452513966480449,True,True
H5_PULLBACK_MATURE_ABSOLUTE_BIAS,2026,bias_follow_24h,PULLBACK_MATURE,0.50,229,0,0.0021834061135370675,True,True
H6_MATURE_EXPANSION_VS_SHORT_RANGE,2023,range_atr_24h,EXPANSION_MATURE,RANGE_SHORT,159,25,0.049230664660259826,True,True
H6_MATURE_EXPANSION_VS_SHORT_RANGE,2024,range_atr_24h,EXPANSION_MATURE,RANGE_SHORT,192,47,0.6077542930834796,True,True
H6_MATURE_EXPANSION_VS_SHORT_RANGE,2025,range_atr_24h,EXPANSION_MATURE,RANGE_SHORT,231,38,0.17193147803693742,True,True
H6_MATURE_EXPANSION_VS_SHORT_RANGE,2026,range_atr_24h,EXPANSION_MATURE,RANGE_SHORT,100,19,0.941590318412997,True,True
