episode,start,end,n,r
0,2023-05-25 16:00:00,2023-05-31 16:42:00,5,-2.7524776923743883
1,2023-06-05 15:00:00,2023-06-05 16:58:00,1,-1.0601502863269765
2,2023-06-26 14:00:00,2023-07-07 13:40:00,7,-4.941717114775521
3,2023-08-11 16:00:00,2023-08-18 03:52:00,4,0.6774788645291294
4,2023-08-21 14:00:00,2023-08-21 16:01:00,2,-2.1602217676684035
5,2023-09-14 16:00:00,2023-09-15 17:07:00,5,-5.42877857300164
6,2023-09-26 22:00:00,2023-10-06 15:30:00,13,8.627101810156582
7,2024-02-13 21:00:00,2024-02-20 11:44:00,3,-3.1842169216631087
8,2024-06-11 09:00:00,2024-06-12 15:30:00,2,-2.115585951763914
9,2024-11-13 22:00:00,2024-11-14 14:27:00,3,1.8757723235803963
10,2024-11-18 12:00:00,2024-11-19 11:02:00,2,-2.1037560826778376
11,2024-11-28 11:00:00,2024-11-29 04:13:00,1,-1.0527381446076192
12,2024-12-19 13:00:00,2024-12-24 07:00:00,6,-1.3079788680846913
13,2025-07-31 16:00:00,2025-08-01 22:32:00,3,-0.6492121106388737
14,2026-03-20 05:00:00,2026-03-30 06:07:00,7,0.4049561608609795
15,2026-04-23 09:00:00,2026-04-27 02:29:00,5,-0.16103200853879995
16,2026-04-30 08:00:00,2026-05-05 10:16:00,8,1.7534766364449708
17,2026-05-15 12:00:00,2026-05-21 04:23:00,3,1.9176273053760005
18,2026-05-28 20:00:00,2026-05-29 18:11:00,2,-2.0556330563593397
19,2026-06-08 19:00:00,2026-06-26 16:58:00,18,1.5661971772062666
20,2026-07-02 12:00:00,2026-07-02 15:30:00,1,-1.0295205579818236
21,2026-07-09 09:00:00,2026-07-09 17:05:00,2,-2.0601538209181127
