horizon_h,level_r,compat,n,ordered_n,plus_first_rate,minus_first_rate,none_rate,ambiguous_n
10,0.5,ALIGNED,1195,1195,0.5171548117154812,0.45523012552301256,0.027615062761506277,0
10,0.5,OPPOSED,966,966,0.4782608695652174,0.4865424430641822,0.035196687370600416,0
10,1.0,ALIGNED,1195,1195,0.42426778242677826,0.34393305439330546,0.2317991631799163,0
10,1.0,OPPOSED,966,966,0.37163561076604557,0.39751552795031053,0.2308488612836439,0
10,1.5,ALIGNED,1195,1195,0.2719665271966527,0.2510460251046025,0.4769874476987448,0
10,1.5,OPPOSED,966,966,0.2629399585921325,0.2629399585921325,0.474120082815735,0
30,0.5,ALIGNED,1195,1195,0.5213389121338912,0.4602510460251046,0.018410041841004185,0
30,0.5,OPPOSED,966,966,0.4865424430641822,0.4917184265010352,0.021739130434782608,0
30,1.0,ALIGNED,1195,1195,0.5288702928870292,0.40585774058577406,0.06527196652719665,0
30,1.0,OPPOSED,966,966,0.44824016563146996,0.4886128364389234,0.06314699792960662,0
30,1.5,ALIGNED,1195,1195,0.4510460251046025,0.3857740585774059,0.16317991631799164,0
30,1.5,OPPOSED,966,966,0.4057971014492754,0.4389233954451346,0.15527950310559005,0
120,0.5,ALIGNED,1195,1195,0.5297071129707113,0.4702928870292887,0.0,0
120,0.5,OPPOSED,966,966,0.4968944099378882,0.5031055900621118,0.0,0
120,1.0,ALIGNED,1195,1195,0.5673640167364017,0.4326359832635983,0.0,0
120,1.0,OPPOSED,966,966,0.47929606625258797,0.520703933747412,0.0,0
120,1.5,ALIGNED,1195,1195,0.5481171548117155,0.4502092050209205,0.0016736401673640166,0
120,1.5,OPPOSED,966,966,0.47619047619047616,0.5238095238095238,0.0,0
