idx,time,side,conf,tag,dist,htf,disposition,relevant,pre,htf_pre,bosH1,bosM15,microUp,microDn,bullLiq,bearLiq,fvgBull,fvgBear,slope,dist_pre,choch_h1,choch_m15,panic,episode15,exec_time,exec_entry,exec_lot,close_time,close_price,log_net,gross_nocomm
0,2026-08-03 18:00:10,BUY,73,CHoCHBull,2.39,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:00:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=2.39 limit=1.5 trigger= | reason=overextended | pre=93 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",93,1,1,1,0,0,0,0,0,0,0.094,2.64,1,1,0,1,,,,,,,
1,2026-08-03 18:06:10,BUY,69,CHoCHBull,1.99,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:06:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.99 limit=1.5 trigger= | reason=overextended | pre=68 conf=69 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",68,1,1,1,0,0,0,0,0,0,0.094,2.07,1,1,0,1,,,,,,,
2,2026-08-03 18:09:10,BUY,69,CHoCHBull,1.99,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:09:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.99 limit=1.5 trigger= | reason=overextended | pre=68 conf=69 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",68,1,1,1,0,0,0,0,0,0,0.094,2.07,1,1,0,1,,,,,,,
3,2026-08-03 18:12:10,BUY,73,CHoCHBull,1.99,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:12:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.99 limit=1.5 trigger= | reason=overextended | pre=88 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",88,1,1,1,0,1,0,0,0,0,0.094,1.98,1,1,0,1,,,,,,,
4,2026-08-03 18:15:10,BUY,73,CHoCHBull,1.97,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:15:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.97 limit=1.5 trigger= | reason=overextended | pre=88 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",88,1,1,1,0,1,0,0,0,0,0.094,1.98,1,1,0,1,,,,,,,
5,2026-08-03 18:18:10,BUY,73,CHoCHBull,1.63,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:18:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.63 limit=1.5 trigger= | reason=overextended | pre=88 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",88,1,1,1,0,1,0,0,0,0,0.094,1.79,1,1,0,1,,,,,,,
6,2026-08-03 18:21:10,BUY,73,CHoCHBull,1.81,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:21:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.81 limit=1.5 trigger= | reason=overextended | pre=88 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",88,1,1,1,0,1,0,0,0,0,0.094,1.81,1,1,0,1,,,,,,,
7,2026-08-03 18:24:10,BUY,73,CHoCHBull,1.8,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:24:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.80 limit=1.5 trigger= | reason=overextended | pre=88 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",88,1,1,1,0,1,0,0,0,0,0.094,1.8,1,1,0,1,,,,,,,
8,2026-08-03 18:27:10,BUY,73,CHoCHBull,1.7,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:27:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.70 limit=1.5 trigger= | reason=overextended | pre=88 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",88,1,1,1,0,1,0,0,0,0,0.094,1.7,1,1,0,1,,,,,,,
9,2026-08-03 18:30:10,BUY,73,CHoCHBull,1.62,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:30:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.62 limit=1.5 trigger= | reason=overextended | pre=88 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",88,1,1,1,0,1,0,0,0,0,0.094,1.62,1,1,0,1,,,,,,,
10,2026-08-03 18:33:10,BUY,73,CHoCHBull,1.55,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:33:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.55 limit=1.5 trigger= | reason=overextended | pre=88 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",88,1,1,1,0,1,0,0,0,0,0.094,1.55,1,1,0,1,,,,,,,
11,2026-08-03 18:36:10,BUY,73,CHoCHBull,1.52,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:36:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.52 limit=1.5 trigger= | reason=overextended | pre=63 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",63,1,1,1,1,0,0,0,0,0,0.094,1.52,1,1,0,1,,,,,,,
12,2026-08-03 18:39:10,BUY,73,CHoCHBull,1.57,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:39:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.57 limit=1.5 trigger= | reason=overextended | pre=63 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",63,1,1,1,1,0,0,0,0,0,0.094,1.57,1,1,0,1,,,,,,,
13,2026-08-03 18:42:10,BUY,73,CHoCHBull,1.48,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:42:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.48 limit=1.5 trigger= | reason=overextended | pre=63 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",63,1,1,1,1,0,0,0,0,0,0.094,1.48,1,1,0,1,,,,,,,
14,2026-08-03 18:45:10,BUY,73,CHoCHBull,1.47,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:45:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.47 limit=1.5 trigger= | reason=overextended | pre=63 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",63,1,1,1,1,0,0,0,0,0,0.094,1.47,1,1,0,1,,,,,,,
15,2026-08-03 18:48:10,BUY,73,CHoCHBull,1.39,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:48:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.39 limit=1.5 trigger= | reason=overextended | pre=63 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",63,1,1,1,1,0,0,0,0,0,0.094,1.39,1,1,0,1,,,,,,,
16,2026-08-03 18:51:10,BUY,73,CHoCHBull,1.48,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:51:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.48 limit=1.5 trigger= | reason=overextended | pre=63 conf=73 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",63,1,1,1,1,0,0,0,0,0,0.094,1.48,1,1,0,1,,,,,,,
17,2026-08-03 18:54:10,BUY,69,CHoCHBull,1.43,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:54:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.43 limit=1.5 trigger= | reason=overextended | pre=63 conf=69 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",63,1,1,1,1,0,0,0,0,0,0.094,1.43,1,1,0,1,,,,,,,
18,2026-08-03 18:57:10,BUY,69,CHoCHBull,1.39,1,LATE,"2026.08.12 21:35:31.726	Core 1	2026.08.03 18:57:10   LATE_ENTRY_BLOCK [BTCUSD] BUY | dist=1.39 limit=1.5 trigger= | reason=overextended | pre=63 conf=69 htf=1 bosH1=1 bosM15=1 choch_h1=1 choch_m15=1\",63,1,1,1,1,0,0,0,0,0,0.094,1.39,1,1,0,1,,,,,,,
