feed,period,shift_min,horizon,candidate_n,candidate_ev,complement_ev,incremental
RITHMIC,TRAIN,-120,5,24,-0.04688352988578744,0.08944946801337447,-0.13633299789916192
RITHMIC,TRAIN,-120,15,24,-0.43326342264091655,0.41493993576563454,-0.8482033584065511
RITHMIC,TRAIN,-60,5,32,-0.06315075758218872,0.09142857137393767,-0.1545793289561264
RITHMIC,TRAIN,-60,15,32,0.47331792015489493,0.390648148556763,0.08266977159813194
RITHMIC,TRAIN,-30,5,24,-0.671635509432401,0.10643081538376493,-0.778066324816166
RITHMIC,TRAIN,-30,15,24,-0.25412885828365006,0.4110536450154456,-0.6651825032990957
RITHMIC,TRAIN,-15,5,26,0.4417944941600654,0.0760289235129835,0.3657655706470819
RITHMIC,TRAIN,-15,15,26,1.854813206131907,0.3523632627075653,1.5024499434243417
RITHMIC,TRAIN,-10,5,29,0.06399822407521612,0.08674340381757978,-0.02274517974236366
RITHMIC,TRAIN,-10,15,29,1.9022095555258536,0.34400052895204797,1.5582090265738056
RITHMIC,TRAIN,-5,5,28,0.9551445328703322,0.058586874137753785,0.8965576587325784
RITHMIC,TRAIN,-5,15,28,1.8738637849014472,0.34666103868514436,1.527202746216303
RITHMIC,TRAIN,-3,5,33,0.27674016366571547,0.07888682412651737,0.1978533395391981
RITHMIC,TRAIN,-3,15,33,0.3553200422112679,0.39498405322177044,-0.03966401101050254
RITHMIC,TRAIN,-2,5,40,0.9645160179785567,0.045862815498759625,0.9186532024797971
RITHMIC,TRAIN,-2,15,40,1.6746005976626006,0.3347850003078029,1.3398155973547978
RITHMIC,TRAIN,-1,5,46,0.8694072886022902,0.0445545097869408,0.8248527788153495
RITHMIC,TRAIN,-1,15,46,0.928414352292821,0.3651379722510835,0.5632763800417375
RITHMIC,TRAIN,1,5,56,0.32899190546880686,0.07018283768836292,0.25880906778044394
RITHMIC,TRAIN,1,15,56,0.8090442508700484,0.36636689968012315,0.44267735118992524
RITHMIC,TRAIN,2,5,54,0.18831172699021456,0.079607167274199,0.10870455971601556
RITHMIC,TRAIN,2,15,54,0.40839576800761435,0.3926144203991805,0.01578134760843386
RITHMIC,TRAIN,3,5,47,0.10421359052342383,0.08503751788704607,0.01917607263637776
RITHMIC,TRAIN,3,15,47,0.3574033690937266,0.3955128159855525,-0.03810944689182588
RITHMIC,TRAIN,5,5,53,0.012801070812927093,0.09052453309451484,-0.07772346228158775
RITHMIC,TRAIN,5,15,53,0.5944766804341336,0.3811516648566926,0.213325015577441
RITHMIC,TRAIN,10,5,35,0.12268331802920697,0.08456441835174397,0.038118899677463
RITHMIC,TRAIN,10,15,35,0.4294893121890135,0.3921145019934921,0.03737481019552136
RITHMIC,TRAIN,15,5,29,-0.11088625231497204,0.0924676135414121,-0.20335386585638415
RITHMIC,TRAIN,15,15,29,0.5658850108987916,0.3878888775298336,0.17799613336895803
RITHMIC,TRAIN,30,5,28,-0.13535775330763214,0.09301084709489361,-0.22836860040252577
RITHMIC,TRAIN,30,15,28,0.7377379358928585,0.38304815808565074,0.3546897778072078
RITHMIC,TRAIN,60,5,21,0.6798925257575069,0.0720725517222028,0.6078199740353041
RITHMIC,TRAIN,60,15,21,1.033494320031055,0.37846595224944546,0.6550283677816094
RITHMIC,TRAIN,120,5,26,0.17621428501979539,0.08338473888643674,0.09282954613335864
RITHMIC,TRAIN,120,15,26,0.6289734910737299,0.38664021829231504,0.24233327278141487
RITHMIC,VALID,-120,5,17,0.26949193507409414,-0.1516571359509401,0.42114907102503424
RITHMIC,VALID,-120,15,17,-0.3604867820285661,-0.14057273253813587,-0.21991404949043022
RITHMIC,VALID,-60,5,31,-0.14766703856710303,-0.14331094237024422,-0.004356096196858811
RITHMIC,VALID,-60,15,31,-0.05162744554999319,-0.14836151279949047,0.09673406724949729
RITHMIC,VALID,-30,5,19,0.1459416784155415,-0.1498967187176507,0.2958383971331922
RITHMIC,VALID,-30,15,19,-0.15280042002194835,-0.14471719208795247,-0.008083227933995879
RITHMIC,VALID,-15,5,26,-0.01665783183299244,-0.14735341861561116,0.13069558678261872
RITHMIC,VALID,-15,15,26,1.660430067471536,-0.2008404460561201,1.8612705135276562
RITHMIC,VALID,-10,5,26,0.24212603041139588,-0.15528782948631173,0.3974138598977076
