feature,target,orientation,rith_valid_auc,rith_valid_winners,rith_valid_losers,rith_valid_rho,rith_full_auc,rith_full_winners,rith_full_losers,rith_full_rho,amp_valid_auc,amp_valid_winners,amp_valid_losers,amp_valid_rho,amp_full_auc,amp_full_winners,amp_full_losers,amp_full_rho,gate_pass
cp10_ret,resid_10_15_atr,-1,0.19047619047619047,7,3,-0.4787878787878787,0.48760330578512395,11,11,0.0016939582156973462,0.29166666666666663,6,4,-0.4666666666666666,0.39166666666666666,8,15,-0.18280632411067196,False
cp10_ret,resid_10_20_atr,1,0.5833333333333334,6,4,0.309090909090909,0.6166666666666667,10,12,0.10333145115753813,0.5833333333333334,6,4,0.29696969696969694,0.6893939393939393,12,11,0.26383399209486164,False
cp10_ret,resid_10_30_atr,1,0.5833333333333334,6,4,0.29696969696969694,0.5555555555555556,9,13,0.20383963862224735,0.5833333333333334,6,4,0.28484848484848485,0.5692307692307692,10,13,0.21936758893280633,False
cp10_cum_body,resid_10_15_atr,-1,0.19047619047619047,7,3,-0.406060606060606,0.49586776859504134,11,11,0.03557312252964427,0.25,6,4,-0.4666666666666666,0.36666666666666664,8,15,-0.19664031620553357,False
cp10_cum_body,resid_10_20_atr,1,0.5833333333333334,6,4,0.24848484848484845,0.625,10,12,0.1202710333145116,0.5833333333333334,6,4,0.29696969696969694,0.6818181818181818,12,11,0.26383399209486164,False
cp10_cum_body,resid_10_30_atr,1,0.5833333333333334,6,4,0.23636363636363633,0.5641025641025641,9,13,0.23207227555053642,0.5833333333333334,6,4,0.2727272727272727,0.5769230769230769,10,13,0.20256916996047433,False
cp10_bear_frac,resid_10_15_atr,-1,0.02380952380952381,7,3,-0.6085123568746214,0.3677685950413223,11,11,-0.10625133695195228,0.12499999999999999,6,4,-0.5309552470465893,0.23333333333333334,8,15,-0.31566954103683975,False
cp10_bear_frac,resid_10_20_atr,-1,0.20833333333333334,6,4,-0.5457791242071346,0.2791666666666667,10,12,-0.30540001768703223,0.22916666666666666,6,4,-0.4630423666103975,0.2765151515151515,12,11,-0.39030067853436734,False
cp10_bear_frac,resid_10_30_atr,-1,0.20833333333333334,6,4,-0.6336056499416161,0.2735042735042735,9,13,-0.46564793571292745,0.22916666666666666,6,4,-0.5618247381539491,0.2692307692307692,10,13,-0.38223244745355356,False
cp10_closepos,resid_10_15_atr,1,0.2380952380952381,7,3,-0.28484848484848485,0.4380165289256198,11,11,0.0016939582156973462,0.3333333333333333,6,4,-0.28484848484848485,0.38333333333333336,8,15,-0.0958498023715415,False
cp10_closepos,resid_10_20_atr,1,0.2916666666666667,6,4,-0.38181818181818183,0.39166666666666666,10,12,-0.06041784302653869,0.2916666666666667,6,4,-0.38181818181818183,0.3106060606060606,12,11,-0.30138339920948615,False
cp10_closepos,resid_10_30_atr,1,0.2916666666666667,6,4,-0.4666666666666666,0.44444444444444436,9,13,-0.20948616600790515,0.2916666666666667,6,4,-0.4666666666666666,0.3538461538461538,10,13,-0.29249011857707513,False
cp10_mfe,resid_10_15_atr,-1,0.23809523809523814,7,3,-0.4545454545454545,0.5454545454545454,11,11,0.040090344438170535,0.29166666666666663,6,4,-0.4545454545454545,0.35833333333333334,8,15,-0.2598814229249012,False
cp10_mfe,resid_10_20_atr,1,0.5416666666666666,6,4,0.34545454545454546,0.6,10,12,0.17221908526256355,0.5416666666666666,6,4,0.34545454545454546,0.7045454545454546,12,11,0.30335968379446643,False
cp10_mfe,resid_10_30_atr,1,0.5416666666666666,6,4,0.2727272727272727,0.5299145299145299,9,13,0.18464144551101075,0.5416666666666666,6,4,0.2727272727272727,0.5307692307692308,10,13,0.2391304347826087,False
cp10_mae,resid_10_15_atr,1,0.380952380952381,7,3,-0.17575757575757575,0.5702479338842975,11,11,0.06719367588932806,0.45833333333333337,6,4,-0.17575757575757575,0.4583333333333333,8,15,-0.18280632411067196,False
