feed,candidate,period,horizon_min,n,ev_atr,median_atr,wr_pct,days,positive_days
RITHMIC,FAILED_RECLAIM_SHORT_001,TRAIN,5,27,-0.5351957005288644,0.1824104234526093,55.55555555555556,11,7
RITHMIC,FAILED_RECLAIM_SHORT_001,TRAIN,15,27,-0.9127201751454201,-0.07179487179512964,44.44444444444444,11,6
RITHMIC,FAILED_RECLAIM_SHORT_001,TRAIN,30,27,-0.6261937939361614,-0.4197002141326467,44.44444444444444,11,4
RITHMIC,FAILED_RECLAIM_SHORT_001,VALID,5,18,0.5795559138910701,0.621167204507038,61.111111111111114,10,6
RITHMIC,FAILED_RECLAIM_SHORT_001,VALID,15,18,0.3482993781613431,0.11067193675879183,50.0,10,4
RITHMIC,FAILED_RECLAIM_SHORT_001,VALID,30,18,0.7479852507364193,2.678450494378813,61.111111111111114,10,6
RITHMIC,FAILED_RECLAIM_SHORT_001,LATE_CHECK,5,4,0.29394286788729496,0.4452424016739263,75.0,3,2
RITHMIC,FAILED_RECLAIM_SHORT_001,LATE_CHECK,15,4,2.189590357743398,1.9756002411605489,75.0,3,2
RITHMIC,FAILED_RECLAIM_SHORT_001,LATE_CHECK,30,4,1.5334130692406618,1.7116442413471702,75.0,3,2
RITHMIC,FAILED_RECLAIM_SHORT_001,POST_CHECK,5,0,,,,0,0
RITHMIC,FAILED_RECLAIM_SHORT_001,POST_CHECK,15,0,,,,0,0
RITHMIC,FAILED_RECLAIM_SHORT_001,POST_CHECK,30,0,,,,0,0
RITHMIC,FAILED_RECLAIM_SHORT_001,FULL,5,49,-0.05801032638144687,0.23236514522799215,59.183673469387756,24,15
RITHMIC,FAILED_RECLAIM_SHORT_001,FULL,15,49,-0.196238663082624,0.0,48.97959183673469,24,12
RITHMIC,FAILED_RECLAIM_SHORT_001,FULL,30,49,0.05490110926411918,0.3867403314917049,53.06122448979592,24,12
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,TRAIN,5,110,0.36730743981644776,0.38157056950841856,56.36363636363636,14,12
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,TRAIN,15,110,-0.01543153413586444,0.23227272727269144,53.63636363636364,14,9
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,TRAIN,30,108,0.2737548941694924,0.4384779516355983,53.70370370370371,14,10
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,VALID,5,100,0.037754202807456234,-0.14028030344779194,45.0,14,7
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,VALID,15,100,-0.046489861868314185,-0.26910755148778615,44.0,14,8
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,VALID,30,99,0.002192621146007797,0.428969359331257,55.55555555555556,14,7
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,LATE_CHECK,5,40,0.05878818996506061,0.11797752808978214,50.0,5,3
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,LATE_CHECK,15,40,-0.3048132378889092,-0.04969683014798399,50.0,5,1
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,LATE_CHECK,30,40,-0.1574365827372684,0.2325255569585153,52.5,5,3
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,POST_CHECK,5,1,0.9655172413793944,0.9655172413793944,100.0,1,1
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,POST_CHECK,15,1,0.21455938697298194,0.21455938697298194,100.0,1,1
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,POST_CHECK,30,1,4.18390804597705,4.18390804597705,100.0,1,1
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,FULL,5,251,0.18922822111767607,0.07179487179512294,50.99601593625498,33,22
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,FULL,15,251,-0.07300567757115499,0.0,49.40239043824701,33,18
RITHMIC,MIRROR_BREAKDOWN_SHORT_REF,FULL,30,248,0.1115687209687349,0.4097018572827721,54.43548387096774,33,20
AMP,FAILED_RECLAIM_SHORT_001,TRAIN,5,19,-0.8930518842289352,0.23430962343125883,52.63157894736842,7,3
