episode_id,class,anchor_ms,end_ms,period,n_signals,long_count,short_count,directional_balance,flips,longest_run,final_run,first_direction,last_direction,dominant_direction,first_half_dominant,second_half_dominant,mean_impact_deterioration,first_half_impact_deterioration,second_half_impact_deterioration,quiet_share,predicted_direction,any2,any3,dir2,dir3,fixed5m_ev_atr
0,MIXED_TRANSITION,1786041630000,1786041870000,TRAIN,3,1,2,0.3333333333333333,2,1,1,-1,-1,-1,-1,0,0.2841205940240996,0.0864197530867399,0.3829710144927795,0.3333333333333333,0,False,False,,,
1,SPARSE,1786042020000,1786042260000,TRAIN,2,1,1,0.0,1,1,1,1,-1,0,1,-1,0.703202844171531,0.2095429432440242,1.196862745099038,1.0,0,True,True,,,
2,SPARSE,1786042410000,1786042500000,TRAIN,2,2,0,1.0,0,2,2,1,1,1,1,1,0.6046130642809437,0.2727272727266177,0.9364988558352698,1.0,0,False,False,,,
3,SPARSE,1786043040000,1786043340000,TRAIN,2,1,1,0.0,1,1,1,1,-1,0,1,-1,0.3482287332408819,0.1458333333332021,0.5506241331485617,1.0,0,False,False,,,
4,SPARSE,1786043520000,1786043820000,TRAIN,2,1,1,0.0,1,1,1,-1,1,0,-1,1,0.2714394457034981,0.2736481221758502,0.2692307692311459,0.5,0,False,False,,,
5,ONE_SIDED_BUILDUP,1786043880000,1786044180000,TRAIN,3,3,0,1.0,0,3,3,1,1,1,1,1,0.4231488522161541,0.4615384615380464,0.4039540475552079,1.0,1,False,False,False,False,-5.83301810321448
6,MIXED_TRANSITION,1786044330000,1786044540000,TRAIN,3,2,1,0.3333333333333333,2,1,1,1,1,1,1,0,1.547043888058916,1.956331877728466,1.3423998932241408,0.3333333333333333,0,False,False,,,
7,MIXED_TRANSITION,1786044660000,1786044900000,TRAIN,3,2,1,0.3333333333333333,1,2,1,1,-1,1,1,0,0.2818680152139221,0.002106263362091,0.42174889113983755,1.0,0,False,False,,,
8,SPARSE,1786045260000,1786045350000,TRAIN,2,1,1,0.0,1,1,1,-1,1,0,-1,1,0.40471630806180364,0.5872103939015776,0.2222222222220297,0.5,0,False,False,,,
9,SPARSE,1786045770000,1786045890000,TRAIN,2,1,1,0.0,1,1,1,-1,1,0,-1,1,0.4509774881515234,0.4374999999998579,0.4644549763031888,0.5,0,True,True,,,
10,ALTERNATING_CONFLICT,1786046130000,1786046370000,TRAIN,4,2,2,0.0,3,1,1,1,-1,0,0,0,0.7181443072022256,0.8830654842582848,0.5532231301461664,0.5,0,False,False,,,
11,MIXED_TRANSITION,1786046670000,1786046940000,TRAIN,3,2,1,0.3333333333333333,1,2,2,-1,1,1,-1,1,0.08127713858671247,0.0779944289692891,0.08291849339542415,0.6666666666666666,0,False,False,,,
12,SPARSE,1786047060000,1786047060000,TRAIN,1,0,1,1.0,0,1,1,-1,-1,-1,-1,0,0.4359485815599269,0.4359485815599269,,1.0,0,True,False,,,
13,ONE_SIDED_BUILDUP,1786047510000,1786047810000,TRAIN,3,0,3,1.0,0,3,3,-1,-1,-1,-1,-1,0.8461854315510289,1.195121951219427,0.6717171717168298,0.3333333333333333,-1,True,False,True,False,1.4131736526948244
14,MIXED_TRANSITION,1786047960000,1786048200000,TRAIN,3,1,2,0.3333333333333333,2,1,1,-1,-1,-1,-1,0,0.3832736756629323,0.1476368516919222,0.5010920876484374,0.0,0,False,False,,,
15,SPARSE,1786048350000,1786048650000,TRAIN,2,2,0,1.0,0,2,2,1,1,1,1,1,0.11475409836098033,8.545664176295986e-13,0.2295081967211061,1.0,0,False,False,,,
16,SPARSE,1786048740000,1786048800000,TRAIN,2,1,1,0.0,1,1,1,1,-1,0,1,-1,0.4745762711860018,0.9491525423720036,0.0,0.5,0,True,True,,,
17,REASSERTION,1786054590000,1786054890000,TRAIN,4,3,1,0.5,2,2,2,1,1,1,0,1,0.24206857954485275,0.16279069767452184,0.3213464614151837,0.25,1,True,True,True,True,2.502529510962036
18,ONE_SIDED_BUILDUP,1786055040000,1786055250000,TRAIN,3,0,3,1.0,0,3,3,-1,-1,-1,-1,-1,0.7793089063025719,0.5171438670905826,0.9103914259085666,0.3333333333333333,-1,False,False,False,False,-1.5526015951384535
19,SPARSE,1786055430000,1786055550000,TRAIN,2,0,2,1.0,0,2,2,-1,-1,-1,-1,-1,0.7061583577714559,0.903225806451666,0.5090909090912459,0.5,0,True,False,,,
20,SPARSE,1786055760000,1786055760000,TRAIN,1,1,0,1.0,0,1,1,1,1,1,1,0,0.1727887158388104,0.1727887158388104,,0.0,0,False,False,,,
21,SPARSE,1786056270000,1786056270000,TRAIN,1,1,0,1.0,0,1,1,1,1,1,1,0,1.085271317828577,1.085271317828577,,0.0,0,True,False,,,
22,SPARSE,1786057020000,1786057290000,TRAIN,2,1,1,0.0,1,1,1,1,-1,0,1,-1,0.19674892005465364,0.1134978401083141,0.2800000000009932,0.5,0,False,False,,,
23,SPARSE,1786057380000,1786057620000,TRAIN,2,0,2,1.0,0,2,2,-1,-1,-1,-1,-1,2.976566582444299,2.7232947232957683,3.2298384415928294,0.0,0,False,False,,,
24,SPARSE,1786057830000,1786058100000,TRAIN,2,0,2,1.0,0,2,2,-1,-1,-1,-1,-1,0.1206896551724958,0.0,0.2413793103449916,0.5,0,False,False,,,
25,SPARSE,1786058250000,1786058250000,TRAIN,1,0,1,1.0,0,1,1,-1,-1,-1,-1,0,0.3478260869562368,0.3478260869562368,,1.0,0,False,False,,,
26,ONE_SIDED_BUILDUP,1786058850000,1786059030000,TRAIN,3,0,3,1.0,0,3,3,-1,-1,-1,-1,-1,1.1109187866072106,1.1951219512179403,1.0688172043018456,0.0,-1,False,False,False,False,-2.144366197183063
27,SPARSE,1786059450000,1786059720000,TRAIN,2,0,2,1.0,0,2,2,-1,-1,-1,-1,-1,0.42162535991519134,0.7636363636368266,0.079614356193556,0.5,0,False,False,,,
28,DOMINANCE_REVERSAL,1786059930000,1786060200000,TRAIN,4,2,2,0.0,1,2,2,-1,1,0,-1,1,0.36935426803584076,0.6238653841795939,0.11484315189208766,0.25,1,True,True,True,True,2.2403356308061206
29,SPARSE,1786060260000,1786060380000,TRAIN,2,0,2,1.0,0,2,2,-1,-1,-1,-1,-1,1.073907362327566,1.2414640137552275,0.906350710899904,0.5,0,False,False,,,
30,MIXED_TRANSITION,1786060650000,1786060860000,TRAIN,3,2,1,0.3333333333333333,2,1,1,1,1,1,1,0,0.47405660283511475,1.2334801762114145,0.0943448161469648,0.0,0,False,False,,,
31,DOMINANCE_REVERSAL,1786061340000,1786061580000,TRAIN,4,2,2,0.0,1,2,2,-1,1,0,-1,1,0.6029068984818791,0.26813506261157327,0.9376787343521849,0.5,1,False,False,False,False,-1.892482712469587
32,SPARSE,1786061760000,1786061820000,TRAIN,2,1,1,0.0,1,1,1,-1,1,0,-1,1,0.169882420406338,0.180236234413443,0.159528606399233,0.0,0,False,False,,,
33,SPARSE,1786062120000,1786062270000,TRAIN,2,1,1,0.0,1,1,1,1,-1,0,1,-1,0.40856690948053215,0.3796338189609711,0.4375000000000932,1.0,0,False,False,,,
34,SPARSE,1786062570000,1786062750000,TRAIN,2,2,0,1.0,0,2,2,1,1,1,1,1,0.4028776978416129,0.8057553956832259,0.0,0.0,0,False,False,,,
35,SPARSE,1786062930000,1786063140000,TRAIN,2,1,1,0.0,1,1,1,-1,1,0,-1,1,0.6426818580192243,0.0571428571425474,1.2282208588959012,0.5,0,False,False,,,
36,SPARSE,1786063290000,1786063350000,TRAIN,2,1,1,0.0,1,1,1,1,-1,0,1,-1,1.1617414248021662,1.399999999999788,0.9234828496045444,0.5,0,False,False,,,
37,SPARSE,1786063740000,1786064010000,TRAIN,2,0,2,1.0,0,2,2,-1,-1,-1,-1,-1,0.433253181025739,0.73607157944271,0.1304347826087681,0.5,0,False,False,,,
38,SPARSE,1786064100000,1786064100000,TRAIN,1,1,0,1.0,0,1,1,1,1,1,1,0,0.7572917379308544,0.7572917379308544,,1.0,0,False,False,,,
39,REASSERTION,1786064460000,1786064730000,TRAIN,4,1,3,0.5,2,2,2,-1,-1,-1,0,-1,1.3166643422959836,2.2039121345287453,0.4294165500632219,0.25,-1,False,False,False,False,-0.3642857142858803
40,MIXED_TRANSITION,1786064880000,1786065060000,TRAIN,3,1,2,0.3333333333333333,1,2,1,-1,1,-1,-1,0,0.6171825078114753,0.7460193338547743,0.5527640947898258,0.6666666666666666,0,False,False,,,
41,MIXED_TRANSITION,1786065360000,1786065510000,TRAIN,3,1,2,0.3333333333333333,1,2,2,1,-1,-1,1,-1,0.28443541874405204,0.2188854489164192,0.31721040365786846,1.0,0,False,False,,,
