threshold,week,signals,accepted,fills,sum_r,ev_r_per_signal
1.1,2026-08-03/2026-08-09,12,8,2,0.5242981112812211,0.04369150927343509
1.1,2026-08-10/2026-08-16,64,32,15,11.147247937320177,0.17417574902062777
1.1,2026-08-17/2026-08-23,59,28,9,4.721294024831697,0.08002193262426605
1.1,2026-08-24/2026-08-30,49,31,18,2.993257928145586,0.06108689649276706
1.1,2026-08-31/2026-09-06,42,23,6,1.7000000000000002,0.04047619047619048
1.1,2026-09-07/2026-09-13,39,24,12,3.326752289955696,0.08530134076809477
1.1,2026-09-14/2026-09-20,14,8,4,6.320841551610445,0.4514886822578889
1.13,2026-08-03/2026-08-09,12,8,2,0.5242981112812211,0.04369150927343509
1.13,2026-08-10/2026-08-16,64,36,16,10.097247937320176,0.15776949902062776
1.13,2026-08-17/2026-08-23,59,30,11,10.621294024831696,0.18002193262426605
1.13,2026-08-24/2026-08-30,49,33,18,7.149908719505317,0.14591650447970034
1.13,2026-08-31/2026-09-06,42,26,8,1.6656011893702574,0.03965717117548232
1.13,2026-09-07/2026-09-13,39,25,13,6.276752289955695,0.16094236640912038
1.13,2026-09-14/2026-09-20,14,8,4,6.320841551610445,0.4514886822578889
1.1657688284518744,2026-08-03/2026-08-09,12,9,2,0.5242981112812211,0.04369150927343509
1.1657688284518744,2026-08-10/2026-08-16,64,38,17,9.047247937320176,0.14136324902062775
1.1657688284518744,2026-08-17/2026-08-23,59,32,12,9.571294024831698,0.16222532245477453
1.1657688284518744,2026-08-24/2026-08-30,49,35,18,7.149908719505317,0.14591650447970034
1.1657688284518744,2026-08-31/2026-09-06,42,28,9,4.615601189370258,0.10989526641357757
1.1657688284518744,2026-09-07/2026-09-13,39,28,13,6.276752289955695,0.16094236640912038
1.1657688284518744,2026-09-14/2026-09-20,14,9,5,5.270841551610445,0.37648868225788895
1.2,2026-08-03/2026-08-09,12,9,2,0.5242981112812211,0.04369150927343509
1.2,2026-08-10/2026-08-16,64,39,18,7.997247937320177,0.12495699902062776
1.2,2026-08-17/2026-08-23,59,33,13,8.521294024831697,0.144428712285283
1.2,2026-08-24/2026-08-30,49,35,18,7.149908719505317,0.14591650447970034
1.2,2026-08-31/2026-09-06,42,28,9,4.615601189370258,0.10989526641357757
1.2,2026-09-07/2026-09-13,39,28,13,6.276752289955695,0.16094236640912038
1.2,2026-09-14/2026-09-20,14,9,5,5.270841551610445,0.37648868225788895
1.23,2026-08-03/2026-08-09,12,9,2,0.5242981112812211,0.04369150927343509
1.23,2026-08-10/2026-08-16,64,40,18,7.997247937320177,0.12495699902062776
1.23,2026-08-17/2026-08-23,59,34,13,8.521294024831697,0.144428712285283
1.23,2026-08-24/2026-08-30,49,36,19,6.099908719505318,0.12448793305112893
1.23,2026-08-31/2026-09-06,42,29,10,3.5656011893702577,0.08489526641357756
1.23,2026-09-07/2026-09-13,39,30,14,5.226752289955695,0.13401928948604347
1.23,2026-09-14/2026-09-20,14,10,5,5.270841551610445,0.37648868225788895
