feature,folds,coef_median,coef_mean,coef_abs_median,same_sign_as_median_pct
xau_approach_velocity_atr_per_sec,5,-0.86386997467945,-0.8339434727059519,0.86386997467945,100.0
gc_body_atr,5,-0.7103850901221567,-0.7749185190846812,0.7103850901221567,100.0
gc_range_atr,5,0.6802186965736272,0.7112064511292108,0.6802186965736272,100.0
xau_mom_30s_warning_atr,5,-0.3119094281101101,-0.2972425514914515,0.3119094281101101,80.0
xau_remaining_to_d1_atr,5,-0.3116612126673053,-0.2607509792324515,0.3116612126673053,80.0
gc_post_delta_to_warning,5,-0.18222903152211578,-0.07934942376912188,0.2857702486854327,60.0
gc_delta_excess,5,-0.23624883222752602,-0.30073032726572885,0.23624883222752602,100.0
gc_close_pos,5,0.21433468245136958,0.2110481507012464,0.21433468245136958,100.0
xau_prefill_range_warning_atr,5,-0.19176374478019279,-0.16815155067168971,0.19176374478019279,100.0
warning_delay_sec,5,0.16704181908027751,0.2231384795818916,0.16704181908027751,100.0
gc_breakout_atr,5,-0.11967340185902955,-0.21740902656686129,0.11967340185902955,80.0
gc_buy_loc_excess,5,-0.11154975023885837,-0.10373834712146754,0.11154975023885837,80.0
gc_buy_strength,5,0.11078437702452594,0.08574931940276252,0.11078437702452594,80.0
xau_spread_start_atr,5,-0.0779629386914067,-0.0978154744174329,0.0779629386914067,80.0
xau_mom_10s_warning_atr,5,-0.0407956376576081,-0.09259458830797969,0.06900222757583123,80.0
xau_spread_warning_atr,5,0.05423546453515966,0.08706452018748675,0.05423546453515966,80.0
