cohort,geometry,stop_atr,rr,signals,known_signals,filled,fill_rate_pct,tp,sl,timeout,data_gap,ev_r_per_filled_trade,ev_r_per_signal,wr_filled_pct,pf,max_dd_r_per_signal,ci95_day_ev_r_per_signal
COMMON_CLOCK,MARKET,1.0,1.5,245,245,245,100.0,79,166,0,0,-0.19387755102040816,-0.19387755102040816,32.244897959183675,0.713855421686747,53.0,"[-0.36363636363636365, -0.036683430971593]"
COMMON_CLOCK,MARKET,1.0,2.0,245,245,245,100.0,65,180,0,0,-0.20408163265306123,-0.20408163265306123,26.53061224489796,0.7222222222222222,52.0,"[-0.39189635670913203, -0.02066115702479339]"
COMMON_CLOCK,MARKET,1.0,3.0,245,245,245,100.0,52,191,2,0,-0.13027970596071803,-0.13027970596071803,22.040816326530614,0.8328872881655711,41.0,"[-0.4009801304161742, 0.14475083450260962]"
COMMON_CLOCK,MARKET,1.5,1.5,245,245,245,100.0,80,161,4,0,-0.16542751519632087,-0.16542751519632087,33.46938775510204,0.7495586301154786,40.52974122309861,"[-0.3760935524320777, 0.05178625123705831]"
COMMON_CLOCK,MARKET,1.5,2.0,245,245,245,100.0,76,163,6,0,-0.03489510721772613,-0.03489510721772613,32.6530612244898,0.9478170567638224,29.01943775100416,"[-0.289034283866574, 0.22779540563298903]"
COMMON_CLOCK,MARKET,1.5,3.0,245,245,245,100.0,49,172,24,0,-0.023127646551288045,-0.023127646551288045,27.346938775510203,0.9673970506843212,40.64206848122463,"[-0.3419061019149835, 0.3003946950723205]"
COMMON_CLOCK,LIM_025ATR_5M,1.0,1.5,245,245,202,82.44897959183673,57,145,0,0,-0.29455445544554454,-0.24285714285714285,28.217821782178216,0.5896551724137931,63.5,"[-0.4251226748830309, -0.056131691890671014]"
COMMON_CLOCK,LIM_025ATR_5M,1.0,2.0,245,245,202,82.44897959183673,46,155,1,0,-0.31541126419167087,-0.26005336884374497,22.772277227722775,0.5908302805228923,65.71307536671752,"[-0.45455365933705283, -0.05400875211518766]"
COMMON_CLOCK,LIM_025ATR_5M,1.0,3.0,245,245,202,82.44897959183673,39,162,1,0,-0.22630235330058177,-0.18658398108864294,19.306930693069308,0.7190571485193131,46.71307536671752,"[-0.455335463617533, 0.09890720012007063]"
COMMON_CLOCK,LIM_025ATR_5M,1.5,1.5,245,245,202,82.44897959183673,66,134,2,0,-0.17574216962763858,-0.1448976255705428,32.67326732673268,0.7360599268551513,37.49991826478299,"[-0.31224713082537564, 0.022292337285957]"
