cohort,signal_time_utc,geometry,fill_delay_ms,mfe30_atr,mae30_atr,stop_atr,rr,status,r,filled_trade_r,exit_time_msc,exit_price
COMMON_CLOCK,2026-08-07T01:07:00+00:00,MARKET,8.0,1.5564525429595049,-1.9956175758272912,1.0,1.5,SL,-1.0,-1.0,1786075762202.0,4242.143214285714
COMMON_CLOCK,2026-08-07T01:07:00+00:00,MARKET,8.0,1.5564525429595049,-1.9956175758272912,1.0,2.0,SL,-1.0,-1.0,1786075762202.0,4242.143214285714
COMMON_CLOCK,2026-08-07T01:07:00+00:00,MARKET,8.0,1.5564525429595049,-1.9956175758272912,1.0,3.0,SL,-1.0,-1.0,1786075762202.0,4242.143214285714
COMMON_CLOCK,2026-08-07T01:07:00+00:00,MARKET,8.0,1.5564525429595049,-1.9956175758272912,1.5,1.5,SL,-1.0,-1.0,1786075925703.0,4240.594821428571
COMMON_CLOCK,2026-08-07T01:07:00+00:00,MARKET,8.0,1.5564525429595049,-1.9956175758272912,1.5,2.0,SL,-1.0,-1.0,1786075925703.0,4240.594821428571
COMMON_CLOCK,2026-08-07T01:07:00+00:00,MARKET,8.0,1.5564525429595049,-1.9956175758272912,1.5,3.0,SL,-1.0,-1.0,1786075925703.0,4240.594821428571
COMMON_CLOCK,2026-08-07T01:07:00+00:00,LIM_025ATR_5M,55657.0,1.806452542959526,-1.7456175758272703,1.0,1.5,SL,-1.0,-1.0,1786075775107.0,4241.369017857142
COMMON_CLOCK,2026-08-07T01:07:00+00:00,LIM_025ATR_5M,55657.0,1.806452542959526,-1.7456175758272703,1.0,2.0,SL,-1.0,-1.0,1786075775107.0,4241.369017857142
COMMON_CLOCK,2026-08-07T01:07:00+00:00,LIM_025ATR_5M,55657.0,1.806452542959526,-1.7456175758272703,1.0,3.0,SL,-1.0,-1.0,1786075775107.0,4241.369017857142
COMMON_CLOCK,2026-08-07T01:07:00+00:00,LIM_025ATR_5M,55657.0,1.806452542959526,-1.7456175758272703,1.5,1.5,SL,-1.0,-1.0,1786077058503.0,4239.820624999999
COMMON_CLOCK,2026-08-07T01:07:00+00:00,LIM_025ATR_5M,55657.0,1.806452542959526,-1.7456175758272703,1.5,2.0,SL,-1.0,-1.0,1786077058503.0,4239.820624999999
