window_s,feature,period,bin,q33,q67,n,hit2,hit3,ev
5,post_signed_impulse_atr,TRAIN,LOW,0.0,0.0676328502417925,28,0.07142857142857142,0.0,-0.4317699467749964
5,post_signed_impulse_atr,TRAIN,MID,0.0,0.0676328502417925,2,0.0,0.0,-0.9086227168509233
5,post_signed_impulse_atr,TRAIN,HIGH,0.0,0.0676328502417925,16,0.375,0.1875,1.3838411866926283
5,post_signed_impulse_atr,VALID,LOW,0.0,0.0676328502417925,36,0.16666666666666666,0.05555555555555555,-0.3522175259737898
5,post_signed_impulse_atr,VALID,MID,0.0,0.0676328502417925,5,0.4,0.2,0.7054019366344597
5,post_signed_impulse_atr,VALID,HIGH,0.0,0.0676328502417925,20,0.35,0.1,0.5670000239534587
5,post_signed_impulse_atr,POST_CHECK,LOW,0.0,0.0676328502417925,26,0.23076923076923078,0.15384615384615385,0.008073604516725461
5,post_signed_impulse_atr,POST_CHECK,MID,0.0,0.0676328502417925,4,0.25,0.0,0.6275266329863965
5,post_signed_impulse_atr,POST_CHECK,HIGH,0.0,0.0676328502417925,10,0.4,0.4,0.65040665710173
30,volume_acceleration,TRAIN,LOW,0.5885565052231719,1.1191315144803515,18,0.2222222222222222,0.05555555555555555,-0.17134138587849018
30,volume_acceleration,TRAIN,MID,0.5885565052231719,1.1191315144803515,17,0.11764705882352941,0.0,-0.49913362953833235
30,volume_acceleration,TRAIN,HIGH,0.5885565052231719,1.1191315144803515,18,0.3333333333333333,0.2222222222222222,1.4363890326992692
30,volume_acceleration,VALID,LOW,0.5885565052231719,1.1191315144803515,22,0.2727272727272727,0.09090909090909091,0.2155985824859061
30,volume_acceleration,VALID,MID,0.5885565052231719,1.1191315144803515,22,0.2727272727272727,0.045454545454545456,-0.610941323846951
30,volume_acceleration,VALID,HIGH,0.5885565052231719,1.1191315144803515,30,0.3333333333333333,0.03333333333333333,0.35924992903789427
30,volume_acceleration,POST_CHECK,LOW,0.5885565052231719,1.1191315144803515,13,0.3076923076923077,0.23076923076923078,0.32580311306536675
30,volume_acceleration,POST_CHECK,MID,0.5885565052231719,1.1191315144803515,10,0.3,0.3,0.6054109051755505
30,volume_acceleration,POST_CHECK,HIGH,0.5885565052231719,1.1191315144803515,22,0.18181818181818182,0.13636363636363635,-0.14656263535964761
30,post_volume,TRAIN,LOW,19.333333333333332,59.66666666666666,18,0.16666666666666666,0.0,-0.7291670929571699
30,post_volume,TRAIN,MID,19.333333333333332,59.66666666666666,17,0.11764705882352941,0.11764705882352941,-0.09773757850140857
30,post_volume,TRAIN,HIGH,19.333333333333332,59.66666666666666,18,0.3888888888888889,0.16666666666666666,1.6151184693541873
30,post_volume,VALID,LOW,19.333333333333332,59.66666666666666,24,0.25,0.08333333333333333,-0.07597842490615586
30,post_volume,VALID,MID,19.333333333333332,59.66666666666666,20,0.3,0.0,-0.2711604603889298
30,post_volume,VALID,HIGH,19.333333333333332,59.66666666666666,30,0.3333333333333333,0.06666666666666667,0.31088829889067254
30,post_volume,POST_CHECK,LOW,19.333333333333332,59.66666666666666,13,0.38461538461538464,0.23076923076923078,0.45732425745987737
30,post_volume,POST_CHECK,MID,19.333333333333332,59.66666666666666,13,0.07692307692307693,0.07692307692307693,-0.49128997813622505
30,post_volume,POST_CHECK,HIGH,19.333333333333332,59.66666666666666,19,0.2631578947368421,0.2631578947368421,0.395090837499239
30,post_aligned_volume,TRAIN,LOW,9.0,21.666666666666664,20,0.15,0.05,-0.7362547377030355
30,post_aligned_volume,TRAIN,MID,9.0,21.666666666666664,15,0.13333333333333333,0.06666666666666667,-0.010379089987949681
30,post_aligned_volume,TRAIN,HIGH,9.0,21.666666666666664,18,0.3888888888888889,0.16666666666666666,1.6203537246945736
30,post_aligned_volume,VALID,LOW,9.0,21.666666666666664,24,0.2916666666666667,0.08333333333333333,-0.044900793553638664
30,post_aligned_volume,VALID,MID,9.0,21.666666666666664,14,0.14285714285714285,0.0,-0.49860323367132114
30,post_aligned_volume,VALID,HIGH,9.0,21.666666666666664,36,0.3611111111111111,0.05555555555555555,0.28161171882999064
30,post_aligned_volume,POST_CHECK,LOW,9.0,21.666666666666664,14,0.21428571428571427,0.14285714285714285,-0.06309203890200937
30,post_aligned_volume,POST_CHECK,MID,9.0,21.666666666666664,9,0.2222222222222222,0.1111111111111111,-0.2917490918777885
30,post_aligned_volume,POST_CHECK,HIGH,9.0,21.666666666666664,22,0.2727272727272727,0.2727272727272727,0.480645541600966
0,attack2_volume,TRAIN,LOW,26.666666666666664,54.66666666666666,18,0.16666666666666666,0.16666666666666666,-0.025471612296211112
0,attack2_volume,TRAIN,MID,26.666666666666664,54.66666666666666,18,0.16666666666666666,0.05555555555555555,0.39658393008342424
0,attack2_volume,TRAIN,HIGH,26.666666666666664,54.66666666666666,18,0.2777777777777778,0.0,0.20991269038106514
0,attack2_volume,VALID,LOW,26.666666666666664,54.66666666666666,26,0.2692307692307692,0.07692307692307693,-0.04964690758800105
0,attack2_volume,VALID,MID,26.666666666666664,54.66666666666666,16,0.3125,0.25,0.3178368384147725
0,attack2_volume,VALID,HIGH,26.666666666666664,54.66666666666666,32,0.15625,0.03125,-0.2146461022588629
0,attack2_volume,POST_CHECK,LOW,26.666666666666664,54.66666666666666,20,0.3,0.15,0.21039771242561162
0,attack2_volume,POST_CHECK,MID,26.666666666666664,54.66666666666666,12,0.08333333333333333,0.08333333333333333,-0.8324799600786156
0,attack2_volume,POST_CHECK,HIGH,26.666666666666664,54.66666666666666,13,0.3076923076923077,0.3076923076923077,0.8018183651326859
