offset_min,n_common,pearson_m1_return_corr
-240,34057,-0.010936764133057542
-210,34237,0.003022940567089118
-180,34415,-0.002036249315318429
-150,34595,0.003966758760200494
-120,34775,-0.0020911540875996905
-90,34956,0.00028026453381935684
-60,35137,0.0005916726422294259
-30,35320,-0.007819398676353659
0,35536,-0.0044952807637160235
30,35754,0.006564094877446984
60,35966,-0.0018961525913858193
90,36172,0.005779134522590486
120,36600,0.0050805679551327795
150,37432,0.009873981979638123
180,38000,0.9869174815478385
210,37302,0.010873323046517903
240,36470,0.004783242028328914
